Name		Cost									
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth
Stone Gargoyle	Stone Gargoyles	0	0	0	0	0	0	130	150	165	9
Obsidian Gargoyle	Obsidian Gargoyles	0	0	0	0	0	0	160	155	201	9
Stone Golem	Stone Golems	0	0	0	0	0	0	150	339	250	6
Iron Golem	Iron Golems	0	0	0	0	0	0	200	412	412	6
Mage	Magi	0	0	0	0	0	0	350	418	570	4
Arch Mage	Arch Magi	0	0	0	0	0	0	450	467	680	4
Genie	Genies	0	0	0	0	0	0	550	680	884	3
Master Genie	Master Genies	0	0	0	0	0	0	600	748	942	3
Naga	Nagas	0	0	0	0	0	0	1100	2016	2016	2
Naga Queen	Naga Queens	0	0	0	0	0	0	1600	2485	2840	2
Giant	Giants	0	0	0	0	0	1	2000	3146	3718	1
Titan	Titans	0	0	0	0	0	2	5000	5000	7500	1
                                   											
											
											
Imp	Imps	0	0	0	0	0	0	50	50	50	15
Familiar	Familiars	0	0	0	0	0	0	60	60	60	15
Gog	Gogs	0	0	0	0	0	0	125	145	159	8
Magog	Magogs	0	0	0	0	0	0	175	210	240	8
Hell Hound	Hell Hounds	0	0	0	0	0	0	200	275	357	5
Cerberus	Cerberi	0	0	0	0	0	0	250	308	392	5
Demon	Demons	0	0	0	0	0	0	250	445	445	4
Horned Demon	Horned Demons	0	0	0	0	0	0	270	480	480	4
Pit Fiend	Pit Fiends	0	0	0	0	0	0	500	765	765	3
Pit Lord	Pit Lords	0	0	0	0	0	0	700	1071	1224	3
Efreeti	Efreet	0	0	0	0	0	0	900	1413	1670	2
Efreet Sultan	Efreet Sultans	0	0	0	0	0	0	1100	1584	1848	2
Devil	Devils	0	1	0	0	0	0	2700	3759	5101	1
Arch Devil	Arch Devils	0	2	0	0	0	0	4500	5243	7115	1
											
											
											
Skeleton	Skeletons	0	0	0	0	0	0	60	75	60	12
Skeleton Warrior	Skeleton Warriors	0	0	0	0	0	0	70	85	85	12
Walking Dead	Walking Dead	0	0	0	0	0	0	100	140	98	8
Zombie	Zombies	0	0	0	0	0	0	125	160	128	8
Wight	Wights	0	0	0	0	0	0	200	231	252	7
Wraith	Wraiths	0	0	0	0	0	0	230	252	315	7
Vampire	Vampires	0	0	0	0	0	0	360	518	555	4
Vampire Lord	Vampire Lords	0	0	0	0	0	0	500	652	783	4
Lich	Liches	0	0	0	0	0	0	550	742	848	3
Power Lich	Power Liches	0	0	0	0	0	0	600	889	1079	3
Black Knight	Black Knights	0	0	0	0	0	0	1200	1753	2087	2
Dread Knight	Dread Knights	0	0	0	0	0	0	1500	2029	2382	2
Bone Dragon	Bone Dragons	0	0	0	0	0	0	1800	2420	3388	1
Ghost Dragon	Ghost Dragons	0	1	0	0	0	0	3000	3228	4696	1
											
											
											
Troglodyte	Troglodytes	0	0	0	0	0	0	50	73	59	14
Infernal Troglodyte	Infernal Troglodytes	0	0	0	0	0	0	65	84	84	14
Harpy	Harpies	0	0	0	0	0	0	130	140	154	8
Harpy Hag	Harpy Hags	0	0	0	0	0	0	170	196	238	8
Beholder	Beholders	0	0	0	0	0	0	250	240	336	7
Evil Eye	Evil Eyes	0	0	0	0	0	0	280	245	367	7
Medusa	Medusas	0	0	0	0	0	0	300	379	517	4
Medusa Queen	Medusa Queens	0	0	0	0	0	0	330	423	577	4
Minotaur	Minotaurs	0	0	0	0	0	0	500	835	835	3
Minotaur King	Minotaur Kings	0	0	0	0	0	0	575	890	1068	3
Manticore	Manticores	0	0	0	0	0	0	850	1215	1547	2
Scorpicore	Scorpicores	0	0	0	0	0	0	1050	1248	1589	2
Red Dragon	Red Dragons	0	0	0	1	0	0	2500	3762	4702	1
Black Dragon	Black Dragons	0	0	0	2	0	0	4000	6783	8721	1
											
											
											
Goblin	Goblins	0	0	0	0	0	0	40	60	60	15
Hobgoblin	Hobgoblins	0	0	0	0	0	0	50	65	78	15
Wolf Rider	Wolf Riders	0	0	0	0	0	0	100	130	130	9
Wolf Raider	Wolf Raiders	0	0	0	0	0	0	140	174	203	9
Orc	Orcs	0	0	0	0	0	0	150	175	192	7
Orc Chieftain	Orc Chieftains	0	0	0	0	0	0	165	200	240	7
Ogre	Ogres	0	0	0	0	0	0	300	520	416	4
Ogre Mage	Ogre Magi	0	0	0	0	0	0	400	672	672	4
Roc	Rocs	0	0	0	0	0	0	600	790	1027	3
Thunderbird	Thunderbirds	0	0	0	0	0	0	700	869	1106	3
Cyclops	Cyclopes	0	0	0	0	0	0	750	1055	1266	2
Cyclops King	Cyclops Kings	0	0	0	0	0	0	1100	1110	1443	2
Behemoth	Behemoths	0	0	0	0	0	0	1500	3162	3162	1
Ancient Behemoth	Ancient Behemoths	0	0	0	0	1	0	3000	5397	6168	1
											
											
											
Gnoll	Gnolls	0	0	0	0	0	0	50	70	56	12
Gnoll Marauder	Gnoll Marauders	0	0	0	0	0	0	70	90	90	12
Lizardman	Lizardmen	0	0	0	0	0	0	110	115	126	9
Lizard Warrior	Lizard Warriors	0	0	0	0	0	0	140	130	156	9
Gorgon	Gorgons	0	0	0	0	0	0	525	890	890	3
Mighty Gorgon	Mighty Gorgons	0	0	0	0	0	0	600	1028	1028	3
Serpent Fly	Serpent Flies	0	0	0	0	0	0	220	215	268	8
Dragon Fly	Dragon Flies	0	0	0	0	0	0	240	250	312	8
Basilisk	Basilisks	0	0	0	0	0	0	325	506	552	4
Greater Basilisk	Greater Basilisks	0	0	0	0	0	0	400	561	714	4
Wyvern	Wyverns	0	0	0	0	0	0	800	1050	1350	2
Wyvern Monarch	Wyvern Monarchs	0	0	0	0	0	0	1100	1181	1518	2
Hydra	Hydras	0	0	0	0	0	0	2200	4120	4120	1
Chaos Hydra	Chaos Hydras	0	0	0	1	0	0	3500	5272	5931	1
											
											
											
Air Elemental	Air Elementals	0	0	0	0	0	0	250	324	356	6
Earth Elemental	Earth Elementals	0	0	0	0	0	0	400	415	330	4
Fire Elemental	Fire Elementals	0	0	0	0	0	0	350	345	345	5
Water Elemental	Water Elementals	0	0	0	0	0	0	300	315	315	6
Gold Golem	Gold Golems	0	0	0	0	0	0	500	600	600	3
Diamond Golem	Diamond Golems	0	0	0	0	0	0	750	775	775	2
											
											
											
Pixie	Pixies	0	0	0	0	0	0	25	40	55	20
Sprite	Sprites	0	0	0	0	0	0	30	70	95	20
Psychic Elemental	Psychic Elementals	0	0	0	0	0	0	950	1431	1669	2
Magic Elemental	Magic Elementals	0	0	0	0	0	0	1200	1724	2012	2
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0
Ice Elemental	Ice Elementals	0	0	0	0	0	0	375	315	380	6
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0
Magma Elemental	Magma Elementals	0	0	0	0	0	0	500	490	490	4
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0
Storm Elemental	Storm Elementals	0	0	0	0	0	0	275	324	486	6
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0
Energy Elemental	Energy Elementals	0	0	0	0	0	0	400	360	470	5
Firebird	Firebirds	0	0	0	0	0	0	2000	3097	4336	1
Phoenix	Phoenixes	0	1	0	0	0	0	3000	4929	6721	1
											
											
											
Azure Dragon	Azure Dragons	0	20	0	0	0	0	30000	56315	78845	1
Crystal Dragon	Crystal Dragons	0	0	0	0	10	0	20000	30260	39338	1
Faerie Dragon	Faerie Dragons	0	0	0	0	0	8	10000	16317	30501	1
Rust Dragon	Rust Dragons	0	0	0	14	0	0	15000	24030	26433	1
Enchanter	Enchanters	0	0	0	0	0	0	750	805	1210	2
Sharpshooter	Sharpshooters	0	0	0	0	0	0	400	415	585	4
Halfling	Halflings	0	0	0	0	0	0	40	60	75	15
Peasant	Peasants	0	0	0	0	0	0	10	15	15	25
Boar	Boars	0	0	0	0	0	0	150	145	145	8
Mummy	Mummies	0	0	0	0	0	0	300	270	270	7
Nomad	Nomads	0	0	0	0	0	0	200	285	345	7
Rogue	Rogues	0	0	0	0	0	0	100	135	135	8
Troll	Trolls	0	0	0	0	0	0	500	1024	1024	3
											
											
											
Catapult	Catapults	0	0	0	0	0	0	1	10	500	0
Ballista	Ballistas	0	0	0	0	0	0	2500	650	600	0
First Aid Tent	First Aid Tents	0	0	0	0	0	0	750	10	300	0
Ammo Cart	Ammo Carts	0	0	0	0	0	0	1000	5	400	0
Arrow Tower	Arrow Towers	0	0	0	0	0	0	1000	5	400	0
