			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Fliegen	Fliegen	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Fliegen}

Ermöglicht Eurer Armee, einen Teil ihrer Bewegung dazu zu nutzen, um über Hindernisse hinwegzufliegen. Ihr müßt am Ende des Zuges landen.
"	"{Fliegen einfach}

Ermöglicht Eurer Armee, einen Teil ihrer Bewegung dazu zu nutzen, um über Hindernisse hinwegzufliegen. Ihr müßt am Ende des Zuges landen.
"	"{Fliegen verbessert}

Ermöglicht Eurer Armee, einen Großteil ihrer Bewegung dazu zu nutzen, um über Hindernisse hinwegzufliegen. Ihr müßt am Ende des Zuges landen.
"	"{Fliegen Meisterhaft}

Ermöglicht Eurer Armee, ihre gesamte Bewegung dazu zu nutzen, um über Hindernisse hinwegzufliegen. Ihr müßt am Ende des Zuges landen.
"	 ADV_SPELL
Wasserwandeln	Wasser wandeln	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Wasserwandeln}

Ermöglicht Eurer Armee, einen Teil ihrer Bewegung dazu zu nutzen, über Wasser zu laufen. Eure Bewegung muß an Land enden.
"	"{Wasserwandeln einfach}

Ermöglicht Eurer Armee, einen Teil ihrer Bewegung dazu zu nutzen, über Wasser zu laufen. Eure Bewegung muß an Land enden.
"	"{Wasserwandeln verbessert}

Ermöglicht Eurer Armee, einen Großteil ihrer Bewegung dazu zu nutzen, über Wasser zu laufen. Eure Bewegung muß an Land enden.
"	"{Wasserwandeln Meisterhaft}

Ermöglicht Eurer Armee, ihre gesamte Bewegung dazu zu nutzen, über Wasser zu laufen. Eure Bewegung muß an Land enden.
"	 ADV_SPELL
Dimensionstor	Dimensionstor	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Dimensionstor}

Einmal am Tag könnt Ihr Euren Helden auf einen sichtbaren, unbesetzten Platz auf der Abenteuerkarte teleportieren.
"	"{Dimensionstor einfach}

Zweimal am Tag könnt Ihr Euren Helden auf einen sichtbaren, unbesetzten Platz auf der Abenteuerkarte teleportieren.
"	"{Dimensionstor verbessert}

Dreimal am Tag könnt Ihr Euren Helden auf einen sichtbaren, unbesetzten Platz auf der Abenteuerkarte teleportieren.
"	"{Dimensionstor Meisterhaft}

Viermal am Tag könnt Ihr Euren Helden auf einen sichtbaren, unbesetzten Platz auf der Abenteuerkarte teleportieren.
"	 ADV_SPELL
Stadtportal	Stadtportal	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Stadtportal}

Teleportiert Euren Helden zur nächsten freundlichen Stadt. Die Stadt darf nicht besetzt sein.
"	"{Stadtportal einfach}

Teleportiert Euren Helden zur nächsten freundlichen Stadt. Die Stadt darf nicht besetzt sein.
"	"{Stadtportal verbessert}

Teleportiert Euren Helden zu jeder freundlichen Stadt. Die Stadt darf nicht besetzt sein.
"	"{Stadtportal Meisterhaft}

Teleportiert Euren Helden zu jeder freundlichen Stadt. Die Stadt darf nicht besetzt sein.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Treibsand	Treibsand	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Treibsand}

Verteilt vier kleine Treibsandflächen wahllos auf dem Schlachtfeld, die nur der Zaubernde und Kreaturen, die in diesem Gelände beheimatet sind, erkennen können. Wenn eine Einheit in den Treibsand läuft, endet ihre Bewegung für diese Runde und macht den Treibsand für alle erkennbar.
"	"{Treibsand einfach}

Verteilt vier kleine Treibsandflächen wahllos auf dem Schlachtfeld, die nur der Zaubernde und Kreaturen, die in dieser Umgebung zu Hause sind, erkennen können. Wenn eine Einheit in den Treibsand läuft, endet ihre Bewegung für diese Runde und macht den Treibsand für alle erkennbar.
"	"{Treibsand verbessert}

Verteilt sechs kleine Treibsandflächen wahllos auf dem Schlachtfeld, die nur der Zaubernde und Kreaturen, die in diesem Gelände beheimatet sind, erkennen können. Wenn eine Einheit in den Treibsand läuft, endet ihre Bewegung für diese Runde und macht den Treibsand für alle erkennbar.
"	"{Treibsand Meisterhaft}

Verteilt acht kleine Treibsandflächen wahllos auf dem Schlachtfeld, die nur der Zaubernde und Kreaturen, die in diesem Gelände beheimatet sind, erkennen können. Wenn eine Einheit in den Treibsand läuft, endet ihre Bewegung für diese Runde und macht den Treibsand für alle erkennbar.
"	 COMBAT_SPELL|LOCATION_TARGET
Mine	Mine	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Mine}

Verteilt vier kleine Gebiete mit Minen wahllos auf dem Schlachtfeld, die nur der Zaubernde und Kreaturen, die in diesem Gelände beheimatet sind, erkennen können. Jede Einheit, die darüber hinweg läuft, nimmt Schaden.
"	"{Mine einfach}

Verteilt vier kleine Gebiete mit Minen wahllos auf dem Schlachtfeld, die nur der Zaubernde und Kreaturen, die in diesem Gelände beheimatet sind, erkennen können. Jede Einheit, die darüber hinweg läuft, nimmt Schaden.
"	"{Mine verbessert}

Verteilt sechs kleine Gebiete mit Minen wahllos auf dem Schlachtfeld, die nur der Zaubernde und Kreaturen, die in diesem Gelände beheimatet sind, erkennen können. Jede Einheit, die darüber hinweg läuft, nimmt Schaden.

Verursacht 25 Punkte mehr Schaden als 'Mine einfach'.
"	"{Mine Meisterhaft}

Verteilt acht kleine Gebiete mit Minen wahllos auf dem Schlachtfeld, die nur der Zaubernde und Kreaturen, die in diesem Gelände beheimatet sind, erkennen können. Jede Einheit, die darüber hinweg läuft, nimmt Schaden.

Verursacht 75 Punkte mehr Schaden als 'Mine einfach'.
"	 COMBAT_SPELL|LOCATION_TARGET
Kraftfeld	Kraftfeld	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Kraftfeld}

Erzeugt auf dem Schlachtfeld, an einem Punkt, der vom Zaubernden festgelegt wird, ein kleines Kraftfeld.
"	"{Kraftfeld einfach}

Erzeugt auf dem Schlachtfeld, an einem Punkt, der vom Zaubernden festgelegt wird, ein kleines Kraftfeld.
"	"{Kraftfeld verbessert}

Erzeugt auf dem Schlachtfeld, an einem Punkt, der vom Zaubernden festgelegt wird, ein mittelgroßes Kraftfeld.
"	"{Kraftfeld Meisterhaft}

Erzeugt auf dem Schlachtfeld, an einem Punkt, der vom Zaubernden festgelegt wird, ein mittelgroßes Kraftfeld.
"	 COMBAT_SPELL|LOCATION_TARGET
Feuerwand	Feuerwand	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Feuerwand}

Erzeugt auf dem Schlachtfeld, an einem Ort, der vom Zaubernden festgelegt wird, eine kleine Feuerwand. Alle Einheiten, die durch die Wand hindurchgehen, nehmen Schaden.
"	"{Feuerwand einfach}

Erzeugt auf dem Schlachtfeld, an einem Ort, der vom Zaubernden festgelegt wird, eine kleine Feuerwand. Alle Einheiten, die durch die Wand hindurchgehen, nehmen Schaden.
"	"{Feuerwand verbessert}

Erzeugt auf dem Schlachtfeld, an einem Ort, der vom Zaubernden festgelegt wird, eine mittelgroße Feuerwand. Alle Einheiten, die durch die Wand hindurchgehen, nehmen Schaden.
"	"{Feuerwand Meisterhaft}

Erzeugt auf dem Schlachtfeld, an einem Ort, der vom Zaubernden festgelegt wird, eine mittelgroße Feuerwand. Alle Einheiten, die durch die Wand hindurchgehen, nehmen Schaden.
"	 COMBAT_SPELL|LOCATION_TARGET
Erdbeben	Erdbeben	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Erdbeben}

Beschädigt im Kampf willkürlich zwei Abschnitte der Burgmauer.
"	"{Erdbeben einfach}

Beschädigt im Kampf willkürlich zwei Abschnitte der Burgmauer.
"	"{Erdbeben verbessert}

Beschädigt im Kampf willkürlich drei Abschnitte der Burgmauer.
"	"{Erdbeben Meisterhaft}

Beschädigt im Kampf willkürlich vier Abschnitte der Burgmauer.
"	 COMBAT_SPELL
Magischer Pfeil	Magischer Pfeil	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Magischer Pfeil}

Die ausgewählte Einheit wird von einem Strahl magischer Energie getroffen.
"	"{Magischer Pfeil einfach}

Die ausgewählte Einheit wird von einem Strahl magischer Energie getroffen.
"	"{Magischer Pfeil verbessert}

Die ausgewählte Einheit wird von einem Strahl magischer Energie getroffen.

Verursacht 10 Punkte mehr Schaden als 'Magischer Pfeil einfach'.
"	"{Magischer Pfeil Meisterhaft}

Die ausgewählte Einheit wird von einem Strahl magischer Energie getroffen.

Verursacht 20 Punkte mehr Schaden als 'Magischer Pfeil einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET
Eisstrahl	Eisstrahl	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Eisstrahl}

Entzieht der ausgewählten gegnerischen Einheit die Körperwärme.
"	"{Eisstrahl einfach}

Entzieht der ausgewählten gegnerischen Einheit die Körperwärme.
"	"{Eisstrahl verbessert}

Entzieht der ausgewählten gegnerischen Einheit die Körperwärme.

Verursacht 10 Punkte mehr Schaden als 'Eisstrahl einfach'.
"	"{Eisstrahl Meisterhaft}

Entzieht der ausgewählten gegnerischen Einheit die Körperwärme.

Verursacht 40 Punkte mehr Schaden als 'Eisstrahl einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET
Blitzstrahl	Blitzstrahl	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Blitzstrahl}

Schleudert einen Blitzstrahl auf die ausgewählte Einheit."	"{Blitzstrahl einfach}

Schleudert einen Blitzstrahl auf die ausgewählte Einheit.
"	"{Blitzstrahl verbessert}

Schleudert einen Blitzstrahl auf die ausgewählte Einheit.

Verursacht 10 Punkte mehr Schaden als 'Blitzstrahl einfach'.
"	"{Blitzstrahl Meisterhaft}

Schleudert einen Blitzstrahl auf die ausgewählte Einheit.

Verursacht 40 Punkte mehr Schaden als 'Blitzstrahl einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET
Implosion	Implosion	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Implosion}

Verursacht bei einem bestimmten Truppenteil massiven Schaden.
"	"{Implosion einfach}

Verursacht bei einem bestimmten Truppenteil massiven Schaden.
"	"{Implosion verbessert}

Verursacht bei einem bestimmten Truppenteil massiven Schaden.

Verursacht 100 Punkte mehr Schaden als 'Implosion einfach'.
"	"{Implosion Meisterhaft}

Verursacht bei einem bestimmten Truppenteil massiven Schaden.

Verursacht 200 Punkte mehr Schaden als 'Implosion einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET
Blitzstrahl-Salve	Blitzstrahl-Salve	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Blitzstrahl-Salve}

Schleudert einen Blitzstrahl auf die ausgewählte Einheit, der sich dann zur nächsten Einheit weiterbewegt, dort den halben Schaden anrichtet und sich zu nächsten Einheit weiterbewegt, wo er wiederum den halben Schaden anrichtet usw. Trifft vier Einheiten.
"	"{Blitzstrahl-Salve einfach}

Schleudert einen Blitzstrahl auf die ausgewählte Einheit, der sich dann zur nächsten Einheit weiterbewegt, dort den halben Schaden anrichtet und sich zu nächsten Einheit weiterbewegt, wo er wiederum den halben Schaden anrichtet usw. Trifft vier Einheiten.
"	"{Blitzstrahl-Salve verbessert}

Schleudert einen Blitzstrahl auf die ausgewählte Einheit, der sich dann zur nächsten Einheit weiterbewegt, dort den halben Schaden anrichtet und sich zu nächsten Einheit weiterbewegt, wo er wiederum den halben Schaden anrichtet usw. Trifft fünf Einheiten.

Grundschaden ist 25 Punkte höher als 'Blitzstrahl-Salve einfach'.
"	"{Blitzstrahl-Salve Meisterhaft}

Schleudert einen Blitzstrahl auf die ausgewählte Einheit, der sich dann zur nächsten Einheit weiterbewegt, dort den halben Schaden anrichtet und sich zu nächsten Einheit weiterbewegt, wo er wiederum den halben Schaden anrichtet usw. Trifft fünf Einheiten.

Grundschaden ist 75 Punkte höher als 'Blitzstrahl-Salve einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET
Frostring	Frostring	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Frostring}

Entzieht allen dem Ziel benachbarten Einheiten die Körperwärme, ohne daß das Ziel Schaden nimmt.
"	"{Frostring einfach}

Entzieht allen dem Ziel benachbarten Einheiten die Körperwärme, ohne daß das Ziel Schaden nimmt.
"	"{Frostring verbessert}

Entzieht allen dem Ziel benachbarten Einheiten die Körperwärme, ohne daß das Ziel Schaden nimmt.

Verursacht 15 Punkte mehr Schaden als 'Frostring einfach'.
"	"{Frostring Meisterhaft}

Entzieht allen dem Ziel benachbarten Einheiten die Körperwärme, ohne daß das Ziel Schaden nimmt.

Verursacht 45 Punkte mehr Schaden als 'Frostring einfach'.
"	 COMBAT_SPELL|LOCATION_TARGET
Feuerball	Feuerball	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Feuerball}

Setzt das ausgewählte Ziel in Brand, und verursacht Feuerschaden am Ziel und den benachbarten Einheiten.
"	"{Feuerball einfach}

Setzt das ausgewählte Ziel in Brand, und verursacht Feuerschaden am Ziel und den benachbarten Einheiten.
"	"{Feuerball verbessert}

Setzt das ausgewählte Ziel in Brand, und verursacht Feuerschaden am Ziel und den benachbarten Einheiten.

Verursacht 15 Punkte mehr Schaden als 'Feuerball einfach'.
"	"{Feuerball Meisterhaft}

Setzt das ausgewählte Ziel in Brand, und verursacht Feuerschaden am Ziel und den benachbarten Einheiten.

Verursacht 45 Punkte mehr Schaden als 'Feuerball einfach'.
"	 COMBAT_SPELL|LOCATION_TARGET
Inferno	Inferno	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Inferno}

Verursacht einen gewaltigen Feuerstoß, der das ausgewählte Ziel trifft. Seid nicht in der Nähe, wenn es losgeht!
"	"{Inferno einfach}

Verursacht einen gewaltigen Feuerstoß, der das ausgewählte Ziel trifft. Seid nicht in der Nähe, wenn es losgeht!
"	"{Inferno verbessert}

Verursacht einen gewaltigen Feuerstoß, der das ausgewählte Ziel trifft. Seid nicht in der Nähe, wenn es losgeht!

Verursacht 20 Punkte mehr Schaden als 'Inferno einfach'.
"	"{Inferno Meisterhaft}

Verursacht einen gewaltigen Feuerstoß, der das ausgewählte Ziel trifft. Seid nicht in der Nähe, wenn es losgeht!

Verursacht 60 Punkte mehr Schaden als 'Inferno einfach'.
"	 COMBAT_SPELL|LOCATION_TARGET
Meteorregen	Meteorregen	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Meteorregen}

Entfesselt einen Meteorregen, der über dem ausgewählten Ziel und allen benachbarten Einheiten niedergeht.
"	"{Meteorregen einfach}

Entfesselt einen Meteorregen, der über dem ausgewählten Ziel und allen benachbarten Einheiten niedergeht.
"	"{Meteorregen verbessert}

Entfesselt einen Meteorregen, der über dem ausgewählten Ziel und allen benachbarten Einheiten niedergeht.

Verursacht 25 Punkte mehr Schaden als 'Meteorregen einfach'.
"	"{Meteorregen Meisterhaft}

Entfesselt einen Meteorregen, der über dem ausgewählten Ziel und allen benachbarten Einheiten niedergeht.

Verursacht 75 Punkte mehr Schaden als 'Meteorregen einfach'.
"	 COMBAT_SPELL|LOCATION_TARGET
Kleine Todeswelle	Kleine Todeswelle	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Kleine Todeswelle}

Schickt eine Todeswelle über das Schlachtfeld, die allen nicht-untoten Einheiten schadet.
"	"{Kleine Todeswelle einfach}

Schickt eine Todeswelle über das Schlachtfeld, die allen nicht-untoten Einheiten schadet.
"	"{Kleine Todeswelle verbessert}

Schickt eine Todeswelle über das Schlachtfeld, die allen nicht-untoten Einheiten schadet.

Verursacht 10 Punkte mehr Schaden als 'Kleine Todeswelle einfach'.
"	"{Kleine Todeswelle Meisterhaft}

Schickt eine Todeswelle über das Schlachtfeld, die allen nicht-untoten Einheiten schadet.

Verursacht 20 Punkte mehr Schaden als 'Kleine Todeswelle einfach'.
"	 COMBAT_SPELL
Untote vernichten	Untote vernichten	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Untote vernichten}

Versucht, alle untoten Kreaturen auf dem Schlachtfeld zu vernichten.
"	"{Untote vernichten einfach}

Versucht, alle untoten Kreaturen auf dem Schlachtfeld zu vernichten.
"	"{Untote vernichten verbessert}

Versucht, alle untoten Kreaturen auf dem Schlachtfeld zu vernichten.

Verursacht 10 Punkte mehr Schaden als 'Untote vernichten einfach'.
"	"{Untote vernichten Meisterhaft}

Versucht, alle untoten Kreaturen auf dem Schlachtfeld zu vernichten.

Verursacht 40 Punkte mehr Schaden als 'Untote vernichten einfach'.
"	 COMBAT_SPELL
Armageddon	Armageddon	4	 	 	x	 	24	20	20	20	50	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Armageddon}

Läßt Feuer auf das Schlachtfeld niederregnen, und schadet allen Einheiten.
"	"{Armageddon einfach}

Läßt Feuer auf das Schlachtfeld niederregnen, und schadet allen Einheiten.
"	"{Armageddon verbessert}

Läßt Feuer auf das Schlachtfeld niederregnen, und schadet allen Einheiten.

Verursacht 30 Punkte mehr Schaden als 'Armageddon einfach'.
"	"{Armageddon Meisterhaft}

Läßt Feuer auf das Schlachtfeld niederregnen, und schadet allen Einheiten.

Verursacht 90 Punkte mehr Schaden als 'Armageddon einfach'.
"	 COMBAT_SPELL
Schild	Schild	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Schild}

Schützt eine ausgewählte Einheit und reduziert den Schaden, der durch Mann-gegen-Mann Angriffe verursacht wird.
"	"{Schild einfach}

Schützt eine ausgewählte Einheit und reduziert den Schaden, der durch Mann-gegen-Mann Angriffe verursacht wird.
"	"{Schild verbessert}

Schützt eine ausgewählte Einheit und reduziert den Schaden, der durch Mann-gegen-Mann Angriffe verursacht wird.

Der Schutz ist doppelt so stark wie bei 'Schild einfach'.
"	"{Schild Meisterhaft}

Schützt alle freundlichen Einheiten und reduziert den Schaden, der durch Mann-gegen-Mann Angriffe verursacht wird.

Der Schutz ist doppelt so stark wie bei 'Schild einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Luftschild	Luftschild	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Luftschild}

Schützt eine ausgewählte Einheit und reduziert den Schaden, der durch Fernangriffe verursacht wird.
"	"{Luftschild einfach}

Schützt eine ausgewählte Einheit und reduziert den Schaden, der durch Fernangriffe verursacht wird.
"	"{Luftschild verbessert}

Schützt eine ausgewählte Einheit und reduziert den Schaden, der durch Fernangriffe verursacht wird.

Der Schutz ist doppelt so stark wie bei 'Luftschild einfach'.
"	"{Luftschild Meisterhaft}

Deckt all freundlichen Einheiten und reduziert den Schaden, der durch Fernangriffe verursacht wird.

Der Schutz ist doppelt so stark wie bei 'Luftschild einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Feuerschild	Feuerschild	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Feuerschild}

Über einer freundlichen Einheit ausgesprochen, bietet es keinen zusätzlichen Schutz, aber alle Gegner, die durch den Feuerschild angreifen, erleiden selbst einen Teil des Schadens, den sie anrichten.
"	"{Feuerschild einfach}

Über einer freundlichen Einheit ausgesprochen, bietet es keinen zusätzlichen Schutz, aber alle Gegner, die durch den Feuerschild angreifen, erleiden selbst einen Teil des Schadens, den sie anrichten.
"	"{Feuerschild verbessert}

Über einer freundlichen Einheit ausgesprochen, bietet es keinen zusätzlichen Schutz, aber alle Gegner, die durch den Feuerschild angreifen, erleiden selbst einen Teil des Schadens, den sie anrichten.

Schaden für den angreifenden Gegener ist 5% höher als 'Feuerschild einfach'.
"	"{Feuerschild Meisterhaft}

Über einer freundlichen Einheit ausgesprochen, bietet es keinen zusätzlichen Schutz, aber alle Gegner, die durch den Feuerschild angreifen, erleiden selbst einen Teil des Schadens, den sie anrichten.

Schaden für den angreifenden Gegener ist 10% höher als 'Feuerschild einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET
Schutz Luftmagie	Schutz Luftmagie	2		 	 	x	7	5	5	5	0	70	70	50	50	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Schutz Luftmagie}

Beschützt die ausgewählte Einheit, indem es Schäden durch Luftzaubersprüche reduziert.
"	"{Schutz Luftmagie einfach}

Beschützt die ausgewählte Einheit, indem es Schäden durch Luftzaubersprüche reduziert.
"	"{Schutz Luftmagie verbessert}

Beschützt die ausgewählte Einheit, indem es Schäden durch Luftzaubersprüche reduziert.

Der Schutz ist fast doppelt so stark wie bei 'Schutz Luftmagie einfach'.
"	"{Schutz Luftmagie Meisterhaft}

Beschützt die ausgewählte Einheit, indem es Schäden durch Luftzaubersprüche reduziert.

Der Schutz ist fast doppelt so stark wie bei 'Schutz Luftmagie einfach'.
"	 COMBAT_SPELL|CREATURE_TARGET_2
