Name		Cost									
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth
Knochendrache	Knochendrachen	0	0	0	0	0	0	1800	2420	3388	1
Geisterdrache	Geisterdrachen	0	1	0	0	0	0	3000	3228	4696	1
											
											
											
Troglodyt	Troglodyten	0	0	0	0	0	0	50	73	59	14
Infernotroglodyt	Infernotroglodyten	0	0	0	0	0	0	65	84	84	14
Harpyie	Harpyien	0	0	0	0	0	0	130	140	154	8
Harpyienhexe	Harpyienhexen	0	0	0	0	0	0	170	196	238	8
Betrachter	Betrachter	0	0	0	0	0	0	250	240	336	7
Auge des Bösen	Augen des Bösen	0	0	0	0	0	0	280	245	367	7
Medusa	Medusen	0	0	0	0	0	0	300	379	517	4
Medusenkönigin	Medusenköniginnen	0	0	0	0	0	0	330	423	577	4
Minotaurus	Minotauren	0	0	0	0	0	0	500	835	835	3
Minotaurenkönig	Minotaurenkönige	0	0	0	0	0	0	575	890	1068	3
Manticor	Manticoren	0	0	0	0	0	0	850	1215	1547	2
Scorpicor	Scorpicoren	0	0	0	0	0	0	1050	1248	1589	2
Roter Drache	Rote Drachen	0	0	0	1	0	0	2500	3762	4702	1
Schwarzer Drache	Schwarze Drachen	0	0	0	2	0	0	4000	6783	8721	1
											
											
											
Goblin	Goblins	0	0	0	0	0	0	40	60	60	15
Hobgoblin	Hobgoblins	0	0	0	0	0	0	50	65	78	15
Wolfsreiter	Wolfsreiter	0	0	0	0	0	0	100	130	130	9
Wolfskrieger	Wolfskrieger	0	0	0	0	0	0	140	174	203	9
Ork	Orks	0	0	0	0	0	0	150	175	192	7
Orkführer	Orkführer	0	0	0	0	0	0	165	200	240	7
Oger	Oger	0	0	0	0	0	0	300	520	416	4
Ogermagier	Ogermagier	0	0	0	0	0	0	400	672	672	4
Roc	Rocs	0	0	0	0	0	0	600	790	1027	3
Donnervogel	Donnervögel	0	0	0	0	0	0	700	869	1106	3
Zyklop	Zyklopen	0	0	0	0	0	0	750	1055	1266	2
Zyklopenkönig	Zyklopenkönige	0	0	0	0	0	0	1100	1110	1443	2
Behemoth	Behemoths	0	0	0	0	0	0	1500	3162	3162	1
Ur-Behemoth	Ur-Behemoths	0	0	0	0	1	0	3000	5397	6168	1
											
											
											
Gnoll	Gnolle	0	0	0	0	0	0	50	70	56	12
Gnollplünderer	Gnollplünderer	0	0	0	0	0	0	70	90	90	12
Echsenmensch	Echsenmenschen	0	0	0	0	0	0	110	115	126	9
Echsenkrieger	Echsenkrieger	0	0	0	0	0	0	140	130	156	9
Gorgone	Gorgonen	0	0	0	0	0	0	525	890	890	3
Riesengorgone	Riesengorgonen	0	0	0	0	0	0	600	1028	1028	3
Schlangenfliege	Schlangenfliegen	0	0	0	0	0	0	220	215	268	8
Drachenfliege	Drachenfliegen	0	0	0	0	0	0	240	250	312	8
Basilisk	Basilisken	0	0	0	0	0	0	325	506	552	4
Riesenbasilisk	Riesenbasilisken	0	0	0	0	0	0	400	561	714	4
Wyvern	Wyvern	0	0	0	0	0	0	800	1050	1350	2
Wyvernkönig	Wyvernkönige	0	0	0	0	0	0	1100	1181	1518	2
Hydra	Hydren	0	0	0	0	0	0	2200	4120	4120	1
Chaoshydra	Chaoshydren	0	0	0	1	0	0	3500	5272	5931	1
											
											
											
Luftwesen	Luftwesen	0	0	0	0	0	0	250	324	356	6
Erdwesen	Erdwesen	0	0	0	0	0	0	400	415	330	4
Feuerwesen	Feuerwesen	0	0	0	0	0	0	350	345	345	5
Wasserwesen	Wasserwesen	0	0	0	0	0	0	300	315	315	6
Goldgolem	Goldgolems	0	0	0	0	0	0	500	600	600	3
Diamantgolem	Diamantgolems	0	0	0	0	0	0	750	775	775	2
											
											
											
Fee	Feen	0	0	0	0	0	0	25	40	55	20
Elfenwesen	Elfenwesen	0	0	0	0	0	0	30	70	95	20
Psy-Elemental	PsyElementale	0	0	0	0	0	0	950	1431	1669	2
Magie-Elemental	Magie-Elementare	0	0	0	0	0	0	1200	1724	2012	2
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0
Eis-Elemental	Eis-Elementare	0	0	0	0	0	0	375	315	380	6
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0
Magma-Elementar	Magma-Elementare	0	0	0	0	0	0	500	490	490	4
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0
Sturm-Elementar	Sturm-Elementare	0	0	0	0	0	0	275	324	486	6
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0
Energie-Elementar	Energie-Elementare	0	0	0	0	0	0	400	360	470	5
Feuervogel	Feuervögel	0	0	0	0	0	0	2000	3097	4336	1
Phönix	Phönixe	0	1	0	0	0	0	3000	4929	6721	1
											
											
											
Azurdrache	Azurdrachen	0	20	0	0	0	0	30000	56315	78845	1
Kristalldrache	Kristalldrachen	0	0	0	0	10	0	20000	30260	39338	1
Feendrache	Feendrachen	0	0	0	0	0	8	10000	16317	30501	1
Rostdrache	Rostdrachen	0	0	0	14	0	0	15000	24030	26433	1
Verzauberer	Verzauberer	0	0	0	0	0	0	750	805	1210	2
Scharfschütze	Scharfschützen	0	0	0	0	0	0	400	415	585	4
Halbling	Halblinge	0	0	0	0	0	0	40	60	75	15
Bauer	Bauern	0	0	0	0	0	0	10	15	15	25
Wildschwein	Wildschweine	0	0	0	0	0	0	150	145	145	8
Mumie	Mumien	0	0	0	0	0	0	300	270	270	7
Nomade	Nomaden	0	0	0	0	0	0	200	285	345	7
Schurke	Schurken	0	0	0	0	0	0	100	135	135	8
Troll	Trolle	0	0	0	0	0	0	500	1024	1024	3
											
											
											
Katapult	Katapulte	0	0	0	0	0	0	1	10	500	0
Balliste	Ballisten	0	0	0	0	0	0	2500	650	600	0
Erste Hilfe-Zelt	Erste Hilfe-Zelte	0	0	0	0	0	0	750	10	300	0
Munitionskarre	Munitionskarren	0	0	0	0	0	0	1000	5	400	0
Geschützturm	Geschütztürme	0	0	0	0	0	0	1000	5	400	0
