Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Waldelf	Waldelfen	0	0	0	0	0	0	200	195	234	7	0	15	6	9	5	3	5	24	0	12	25		SHOOTING_ARMY
Großelf	Großelfen	0	0	0	0	0	0	225	195	331	7	0	15	7	9	5	3	5	24	0	12	20	Schießt zweimal	SHOOTING_ARMY | const_two_attacks
Pegasus	Pegasi	0	0	0	0	0	0	250	407	518	5	0	30	8	9	8	5	9	0	0	10	20	Magiedämpfer.	DOUBLE_WIDE | FLYING_ARMY
Silberpegasus	Silberpegasi	0	0	0	0	0	0	275	418	532	5	0	30	12	9	10	5	9	0	0	10	16	Magiedämpfer.	DOUBLE_WIDE | FLYING_ARMY
Dendroidenwache	Dendroidenwachen	0	0	0	0	0	0	350	690	517	3	2	55	3	9	12	10	14	0	0	8	16	Hält Feinde am Ort fest.	0
Dendroidensoldat	Dendroidensoldaten	0	0	0	0	0	0	425	765	803	3	2	65	4	9	12	10	14	0	0	8	12	Hält Feinde am Ort fest.	0
Einhorn	Einhörner	0	0	0	0	0	0	850	1548	1806	2	0	90	7	15	14	18	22	0	0	5	12	Aura der Magieresistenz. Blendangriff.	DOUBLE_WIDE
Kriegseinhorn	Kriegseinhörner	0	0	0	0	0	0	950	1740	2030	2	0	110	9	15	14	18	22	0	0	5	10	Aura der Magieresistenz. Blendangriff.	DOUBLE_WIDE
Grüner Drache	Grüne Drachen	0	0	0	0	1	0	2400	3654	4872	1	0	180	10	18	18	40	50	0	0	4	10	Immun: Zauberstufe 1-3	DOUBLE_WIDE | FLYING_ARMY | KING_1
Goldener Drache	Goldene Drachen	0	0	0	0	2	0	4000	6220	8613	1	0	250	16	27	27	40	50	0	0	3	8	Immun: Zauberstufe 1-4	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Gremlin	Gremlins	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
Meistergremlin	Meistergremlins	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	Fernangreifer	SHOOTING_ARMY
Stein-Wasserspeier	Stein-Wasserspeier	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30		FLYING_ARMY
Obsidian-Wasserspeier	Obsidian-Wasserspeier	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25		FLYING_ARMY
Steingolem	Steingolems	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	Schaden von Zaubern um 50% reduziert.	0
Eisengolem	Eisengolems	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	Schaden von Zaubern um 75% reduziert.	0
Magier	Magier	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	"Kein Nahkampf-Abzug.
Heldenzauber billiger."	SHOOTING_ARMY | const_no_melee_penalty
Erzmagier	Erzmagier	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	"Kein Nahkampf-Abzug.
Heldenzauber billiger."	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
Dschinn	Dschinns	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	Haßt Efreet.	FLYING_ARMY
Meisterdschinn	Meisterdschinns	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	0	3	8	12	"Zauberer: Vorteil zufällig.
Haßt Efreet."	FLYING_ARMY
Naga	Nagas	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	Keine feindl. Gegenwehr.	DOUBLE_WIDE
Nagakönigin	Nagaköniginnen	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	Keine feindl. Gegenwehr.	DOUBLE_WIDE
Gigant	Giganten	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	Geistzauberimmunität.	KING_3
Titan	Titanen	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	Kein Nahkampf-Abzug. Geistzauberimmunität.	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																								
																								
																								
Imp	Imps	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0
Vertrauter	Vertraute	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	Magiekanal	0
Gog	Gogs	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30		SHOOTING_ARMY
Magog	Magogs	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	Feuerball Angriff.	SHOOTING_ARMY
Höllenhund	Höllenhunde	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
Zerberus	Zerberi	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	5	0	0	12	20	"3-köpfiger Angriff.
Keine feindl. Gegenwehr."	DOUBLE_WIDE | FLYING_ARMY
Dämon	Dämonen	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0
Gehörnter Dämon	Gehörnte Dämonen	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0
Grottenteufel	Grottenteufel	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
Grottenlord	Grottenlords	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	"Beschwört aus toten
Verbündeten Dämonen."	0
Efreet	Efreet	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	Immun gegen Feuer. Haßt Dschinns.	0
Efreetsultan	Efreetsultane	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	0	5	10	Feuerschild. Immun gegen Feuer. Haßt Dschinns.	0
Teufel	Teufel	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	-1 Gegnerglück. Keine feindl. Gegenwehr. Haßt Engel.	FLYING_ARMY | KING_2
Erzteufel	Erzteufel	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	-1 Gegnerglück. Keine feindl. Gegenwehr. Haßt Engel.	FLYING_ARMY | KING_2
																								
																								
																								
Skelett	Skelette	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	Untot.	IS_UNDEAD
Skelettkrieger	Skelettkrieger	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	Untot.	IS_UNDEAD
Wandelnder Toter	Wandelnde Tote	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	Untot.	IS_UNDEAD
Zombie	Zombies	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	"Untot.
Krankheit."	IS_UNDEAD
Geist	Geister	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	Untot. Regeneriert.	FLYING_ARMY | IS_UNDEAD
Gespenst	Gespenster	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	"Untot. Regeneriert.
Entzieht Feind Mana."	FLYING_ARMY | IS_UNDEAD
Vampir	Vampire	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	"Untot.
Keine feindl. Gegenwehr."	FLYING_ARMY | IS_UNDEAD
Vampirlord	Vampirlords	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	"Untot. Entzieht Leben.
Keine feindl. Gegenwehr"	FLYING_ARMY | IS_UNDEAD
Lich	Liche	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	Untot. Todeswolkenangriff.	SHOOTING_ARMY | IS_UNDEAD
Todes-Lich	Todes-Liche	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	Untot. Todeswolkenangriff.	SHOOTING_ARMY | IS_UNDEAD
Schwarzer Ritter	Schwarze Ritter	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	Untot. Verflucht Feinde.	DOUBLE_WIDE | IS_UNDEAD
Schattenritter	Schattenritter	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	"Untot. Verflucht Feinde.
Todesstoßangriff."	DOUBLE_WIDE | IS_UNDEAD
Knochendrache	Knochendrachen	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	Untot.  -1 Feindmoral.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
Geisterdrache	Geisterdrachen	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	Untot.  -1 Feindmoral. Läßt Feinde altern.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																								
																								
																								
Troglodyt	Troglodyten	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	Immun gegen Blenden.	0
Infernotroglodyt	Infernotroglodyten	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	Immun gegen Blenden.	0
Harpyie	Harpyien	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	Schlagen zu und kehren um.	FLYING_ARMY
Harpyienhexe	Harpyienhexen	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	"Schlagen zu und kehren um.
Keine feindl. Gegenwehr."	FLYING_ARMY
Betrachter	Betrachter	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	Kein Nahkampf-Abzug.	SHOOTING_ARMY | const_no_melee_penalty
Auge des Bösen	Augen des Bösen	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	Kein Nahkampf-Abzug.	SHOOTING_ARMY | const_no_melee_penalty
Medusa	Medusen	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	"Kein Nahkampf-Abzug.
Versteinernder Blick."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Medusenkönigin	Medusenköniginnen	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	"Kein Nahkampfabzug.
Versteinernder Blick."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Minotaurus	Minotauren	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	Gute Moral.	0
Minotaurenkönig	Minotaurenkönige	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	Gute Moral.	0
Manticor	Manticoren	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Scorpicor	Scorpicoren	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	Paralysierendes Gift.	DOUBLE_WIDE | FLYING_ARMY
Roter Drache	Rote Drachen	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	Immun: Zauberstufe 1-3.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Schwarzer Drache	Schwarze Drachen	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	Immun gegen alle Zauber.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Goblin	Goblins	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0
Hobgoblin	Hobgoblins	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0
Wolfsreiter	Wolfsreiter	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
Wolfskrieger	Wolfskrieger	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	Schlägt zweimal zu.	DOUBLE_WIDE
Ork	Orks	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY
Orkführer	Orkführer	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY
Oger	Oger	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
Ogermagier	Ogermagier	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	Zauberer: Blutdurst.	0
Roc	Rocs	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE
Donnervogel	Donnervögel	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	Blitzangriff.	FLYING_ARMY | DOUBLE_WIDE
Zyklop	Zyklopen	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	Belagerungswandangriff.	SHOOTING_ARMY | CATAPULT
Zyklopenkönig	Zyklopenkönige	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	Belagerungswandangriff.	SHOOTING_ARMY | CATAPULT
Behemoth	Behemoths	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	Reduziert feindliche Verteidigung um 40%.	DOUBLE_WIDE | KING_1
Ur-Behemoth	Ur-Behemoths	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	Reduziert feindliche Verteidigung um 80%.	DOUBLE_WIDE | KING_1
																								
																								
																								
Gnoll	Gnolle	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
Gnollplünderer	Gnollplünderer	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
Echsenmensch	Echsenmenschen	0	0	0	0	0	0	110	115	126	8	0	12	4	5	6	1	3	12	0	16	30		SHOOTING_ARMY
Echsenkrieger	Echsenkrieger	0	0	0	0	0	0	130	130	156	8	0	12	5	5	7	2	3	24	0	16	25		SHOOTING_ARMY
Gorgone	Gorgonen	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
Riesengorgone	Riesengorgonen	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	Todesblick.	DOUBLE_WIDE
Schlangenfliege	Schlangenfliegen	0	0	0	0	0	0	220	205	256	8	0	20	9	6	8	2	5	0	0	10	20	Zerstreut gute Zauber.	FLYING_ARMY
Drachenfliege	Drachenfliegen	0	0	0	0	0	0	240	205	256	8	0	20	13	6	8	2	5	0	0	10	16	Zerstreut gute Zauber.	FLYING_ARMY
Basilisk	Basilisken	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	Versteinerungsangriff.	DOUBLE_WIDE
Riesenbasilisk	Riesenbasilisken	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	Versteinerungsangriff.	DOUBLE_WIDE
Wyvern	Wyvern	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Wyvernkönig	Wyvernkönige	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	Giftig.	DOUBLE_WIDE | FLYING_ARMY
Hydra	Hydren	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	Angriff auf alle benachbarten Feinde. Keine feindl. Gegenwehr.	DOUBLE_WIDE | KING_1
Chaoshydra	Chaoshydren	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	Angriff auf alle benachbarten Feinde. Keine feindl. Gegenwehr.	DOUBLE_WIDE | KING_1
																								
																								
																								
Luftwesen	Luftwesen	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	8	12	Verwundbar durch Blitz- und Feuersturm.	0
Erdwesen	Erdwesen	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	16	30	Immun gegen Blitzzauber. Verwundbar durch Meteorregen.	0
Feuerwesen	Feuerwesen	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	16	25	Immun gegen Feuer.Verwundbar durch Eis.	0
Wasserwesen	Wasserwesen	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	25	Immun gegen Eis. Verwundbar durch Feuer.	0
Goldgolem	Goldgolems	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	Schaden durch Zauber reduziert um 85%.	0
Diamantgolem	Diamantgolems	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	Schaden durch Zauber reduziert um 95%.	0
																								
																								
																								
Fee	Feen	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50		FLYING_ARMY
Elfenwesen	Elfenwesen	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	Keine feindl. Gegenwehr.	FLYING_ARMY | const_free_attack
Psy-Elemental	PsyElementale	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	10	20	0	0	8	16	Ang. auf alle ben. Feinde. Keine feindl. Gegenwehr.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
Magie-Elemental	Magie-Elementare	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	15	25	0	0	8	12	Angriff auf alle ben.Feinde. Keine feindl.Gegenw.. Zauberimm..	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Eis-Elemental	Eis-Elementare	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	Immun gegen Eis. Verwundbar durch Feuer. Schutzzauber.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Magma-Elementar	Magma-Elementare	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	Immun gegen Blitz. Verw. durch Meteorregen. Schutzzauber.	IMMUNE_TO_MIND_SPELLS
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Sturm-Elementar	Sturm-Elementare	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	Kein Nahkampfabzug. Blitz- und Feuerverwundbar. Schutzzauber.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Energie-Elementar	Energie-Elementare	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	12	25	"Immun gegen Feuer. 
Verw. durch Eis. Schutzzauber."	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
Feuervogel	Feuervögel	0	0	0	0	0	0	1500	3248	4547	2	0	150	15	18	18	30	40	0	0	4	10	Feueratem.  Immun gegen Feuer.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Phönix	Phönixe	0	1	0	0	0	0	2000	4929	6721	2	0	200	21	21	18	30	40	0	1	4	10	Feueratem.  Immun gegen Feuer. Wiedergeburt.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
Azurdrache	Azurdrachen	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	Furcht. Feueratem.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Kristalldrache	Kristalldrachen	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	Kristall Produktion	DOUBLE_WIDE | FLYING_ARMY | KING_1
Feendrache	Feendrachen	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	Offensivzauber	DOUBLE_WIDE | FLYING_ARMY | KING_1
Rostdrache	Rostdrachen	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	Säureangriff. Feueratem.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Verzauberer	Verzauberer	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	"Kein Nahkampfabzug. 
Wirkt Gruppenzauber."	SHOOTING_ARMY | const_no_melee_penalty
Scharfschütze	Scharfschützen	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	Kein Weiten oder Hindernisabzug.	SHOOTING_ARMY
Halbling	Halblinge	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	Glück	SHOOTING_ARMY
Bauer	Bauern	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
Wildschwein	Wildschweine	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
Mumie	Mumien	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	Fluch	
Nomade	Nomaden	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	Sandläufer	
Schurke	Schurken	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	Spion	
Troll	Trolle	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	Regeneration	
																								
																								
																								
Katapult	Katapulte	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	Berlagerungswandangriff.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
Balliste	Ballisten	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
Erste Hilfe-Zelt	Erste Hilfe-Zelte	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	Heilt Truppen	DOUBLE_WIDE | SIEGE_WEAPON
Munitionskarre	Munitionskarren	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	Unbegrenzte Munitition.	SIEGE_WEAPON
Geschützturm	Geschütztürme	0	0	0	0	0	0	1000	5	400	0	0	100	0	10	5	2	4	99	0	0	0	Unbegrenzte Munitition.	SIEGE_WEAPON
