			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Fly	Fly	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Fly}

Allows your army to fly over obstacles and rough terrain with 40% penalty to movement cost. Valid for 1 turn. You must land at the end of the turn.
"	"{Basic Fly}

Allows your army to fly over obstacles and rough terrain with 40% penalty to movement cost. Valid for 1 turn. You must land at the end of the turn.
"	"{Advanced Fly}

Allows your army to fly over obstacles and rough terrain with 20% penalty to movement cost. Valid for 1 turn. You must land at the end of the turn.
"	"{Expert Fly}

Allows your army to fly over obstacles and rough terrain without any penalty. Valid for 1 turn. You must land at the end of the turn.
"	 ADV_SPELL
Water Walk	Water Walk	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Water Walk}

Allows your army to walk across bodies of water with 40% penalty to movement cost. Valid for 1 turn. You must end your movement on dry land.
"	"{Basic Water Walk}

Allows your army to walk across bodies of water with 40% penalty to movement cost. Valid for 1 turn. You must end your movement on dry land.
"	"{Advanced Water Walk}

Allows your army to walk across bodies of water with 20% penalty to movement cost. Valid for 1 turn. You must end your movement on dry land.
"	"{Expert Water Walk}

Allows your army to walk across bodies of water without any penalty. Valid for 1 turn. You must end your movement on dry land.
"	 ADV_SPELL
Dimension Door	Dimension Door	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Dimension Door}

Once per day (for each hero), you may teleport your hero to an unoccupied location on the adventure map in hero visibility zone. This spends 300 movement points.
"	"{Basic Dimension Door}

Twice per day (for each hero), you may teleport your hero to an unoccupied location on the adventure map in hero visibility zone. This spends 300 movement points.
"	"{Advanced Dimension Door}

Three times per day (for each hero), you may teleport your hero to an unoccupied location on the adventure map in hero visibility zone. This spends 300 movement points.
"	"{Expert Dimension Door}

Four times per day (for each hero), you may teleport your hero to an unoccupied location on the adventure map in hero visibility zone. This spends 200 movement points.
"	 ADV_SPELL
Town Portal	Town Portal	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Town Portal}

Teleports your hero to the nearest friendly town. Requires 300 movement points. The town must be unoccupied.
"	"{Basic Town Portal}

Teleports your hero to the nearest friendly town. Requires 300 movement points. The town must be unoccupied.
"	"{Advanced Town Portal}

Teleports your hero to any chosen friendly town. Requires 300 movement points. The town must be unoccupied.
"	"{Expert Town Portal}

Teleports your hero to any chosen friendly town. Requires 200 movement points. The town must be unoccupied.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Quicksand	Quicksand	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Quicksand}

Randomly places four small patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain.  Walking into quicksand ends a non-flying unit's movement for the turn and makes quicksand visible to all. Quicksand duration is unlimited.
"	"{Basic Quicksand}

Randomly places four small patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain.  Walking into quicksand ends a non-flying unit's movement for the turn and makes quicksand visible to all. Quicksand duration is unlimited.
"	"{Advanced Quicksand}

Randomly places six small patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain.  Walking into quicksand ends a non-flying unit's movement for the turn and makes quicksand visible to all. Quicksand duration is unlimited.
"	"{Expert Quicksand}

Randomly places eight small patches of quicksand on the battlefield which are only visible to the caster and creatures native to the terrain.  Walking into quicksand ends a non-flying unit's movement for the turn and makes quicksand visible to all. Quicksand duration is unlimited.
"	 COMBAT_SPELL|LOCATION_TARGET
Land Mine	Land Mine	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Land Mine}

Randomly places four small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain.  It inflicts (Spell Power x 10 + 25) damage to any unit walking over it, which doesn’t see it, and disappears. Otherwise landmine duration is unlimited.
"	"{Basic Land Mine}

Randomly places four small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain.  It inflicts (Spell Power x 10 + 25) damage to any unit walking over it, which doesn’t see it, and disappears. Otherwise landmine duration is unlimited.
"	"{Advanced Land Mine}

Randomly places six small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain.  It inflicts (Spell Power x 10 + 50) damage to any unit walking over it, which doesn’t see it, and disappears. Otherwise landmine duration is unlimited.
"	"{Expert Land Mine}

Randomly places eight small areas of landmines on the battlefield which are only visible to the caster and creatures native to the terrain.  It inflicts (Spell Power x 10 + 100) damage to any unit walking over it, which doesn’t see it, and disappears. Otherwise landmine duration is unlimited.
"	 COMBAT_SPELL|LOCATION_TARGET
Force Field	Force Field	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Force Field}

Places a 2-hex Force Field on the battlefield at a point specified by the caster for 2 rounds. Movement through these hexes is blocked.
"	"{Basic Force Field}

Places a 2-hex Force Field on the battlefield at a point specified by the caster for 2 rounds. Movement through these hexes is blocked.
"	"{Advanced Force Field}

Places a 3-hex Force Field on the battlefield at a point specified by the caster for 2 rounds. Movement through these hexes is blocked.
"	"{Expert Force Field}

Places a 3-hex Force Field on the battlefield at a point specified by the caster for 2 rounds. Movement through these hexes is blocked.
"	 COMBAT_SPELL|LOCATION_TARGET
Fire Wall	Fire Wall	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Fire Wall}

Places a 2-hex wildfire on the battlefield at a point specified by the caster for 2 rounds. Any units passing through the wall take (Spell Power x 10 + 10) damage.
"	"{Basic Fire Wall}

Places a 2-hex wildfire on the battlefield at a point specified by the caster for 2 rounds.  Any units passing through the wall take (Spell Power x 10 + 10) damage.
"	"{Advanced Fire Wall}

Places a 3-hex wildfire on the battlefield at a point specified by the caster for 2 rounds.  Any units passing through the wall take (Spell Power x 10 + 20) damage.
"	"{Expert Fire Wall}

Places a 3-hex wildfire on the battlefield at a point specified by the caster for 2 rounds.  Any units passing through the wall take (Spell Power x 10 + 50) damage.
"	 COMBAT_SPELL|LOCATION_TARGET
Earthquake	Earthquake	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Earthquake}

Randomly damages two sections of castle wall, gate or tower in combat.
"	"{Basic Earthquake}

Randomly damages two sections of castle wall, gate or tower in combat.
"	"{Advanced Earthquake}

Randomly damages three sections of castle wall, gate or tower in combat.
"	"{Expert Earthquake}

Randomly damages four sections of castle wall, gate or tower in combat.
"	 COMBAT_SPELL
Magic Arrow	Magic Arrow	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Magic Arrow}

Causes a bolt of magical energy to strike the selected enemy unit. Inflicts (Spell Power x 10 + 10) damage.
"	"{Basic Magic Arrow}

Causes a bolt of magical energy to strike the selected enemy unit. Inflicts (Spell Power x 10 + 10) damage.
"	"{Advanced Magic Arrow}

Causes a bolt of magical energy to strike the selected enemy unit. Inflicts (Spell Power x 10 + 20) damage.
"	"{Expert Magic Arrow}

Causes a bolt of magical energy to strike the selected enemy unit. Inflicts (Spell Power x 10 + 30) damage.
"	 COMBAT_SPELL|CREATURE_TARGET
Ice Bolt	Ice Bolt	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Ice Bolt}

Ice drains the body heat from the selected enemy unit. Inflicts (Spell Power x 20 + 10) damage.
"	"{Basic Ice Bolt}

Ice drains the body heat from the selected enemy unit. Inflicts (Spell Power x 20 + 10) damage.
"	"{Advanced Ice Bolt}

Ice drains the body heat from the selected enemy unit. Inflicts (Spell Power x 20 + 20) damage.
"	"{Expert Ice Bolt}

Ice drains the body heat from the selected enemy unit. Inflicts (Spell Power x 20 + 50) damage.
"	 COMBAT_SPELL|CREATURE_TARGET
Lightning Bolt	Lightning Bolt	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Lightning Bolt}

Causes a bolt of lightning to strike the selected enemy unit. It takes (Spell Power x 25 + 10) damage.
"	"{Basic Lightning Bolt}

Causes a bolt of lightning to strike the selected enemy unit. It takes (Spell Power x 25 + 10) damage.
"	"{Advanced Lightning Bolt}

Causes a bolt of lightning to strike the selected enemy unit. It takes (Spell Power x 25 + 20) damage.
"	"{Expert Lightning Bolt}

Causes a bolt of lightning to strike the selected enemy unit. It takes (Spell Power x 25 + 50) damage.
"	 COMBAT_SPELL|CREATURE_TARGET
Implosion	Implosion	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Implosion}

Inflicts (Spell Power x 75 + 100) damage to a single enemy creature stack. Does not affect War Machines.
"	"{Basic Implosion}

Inflicts (Spell Power x 75 + 100) damage to a single enemy creature stack. Does not affect War Machines.
"	"{Advanced Implosion}

Inflicts (Spell Power x 75 + 200) damage to a single enemy creature stack. Does not affect War Machines.
"	"{Expert Implosion}

Inflicts (Spell Power x 75 + 300) damage to a single enemy creature stack. Does not affect War Machines.
"	 COMBAT_SPELL|CREATURE_TARGET
Chain Lightning	Chain Lightning	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Chain Lightning}

Fires a bolt of lightning at the selected enemy unit for (Spell Power x 40 + 25) damage which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half of previous target damage, etc.  Strikes four units.
"	"{Basic Chain Lightning}

Fires a bolt of lightning at the selected enemy unit for (Spell Power x 40 + 25) damage which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half of previous target damage, etc.  Strikes four units.
"	"{Advanced Chain Lightning}

Fires a bolt of lightning at the selected enemy unit for (Spell Power x 40 + 50) damage which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half of previous target damage, etc.  Strikes five units.
"	"{Expert Chain Lightning}

Fires a bolt of lightning at the selected enemy unit for (Spell Power x 40 + 100) damage which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half of previous target damage, etc.  Strikes five units.
"	 COMBAT_SPELL|CREATURE_TARGET
Frost Ring	Frost Ring	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Frost Ring}

Ice drains the body heat of any units adjacent to the target location. Each unit takes (Spell Power x 10 + 15) damage. Target hex is unaffected.
"	"{Basic Frost Ring}

Ice drains the body heat of any units adjacent to the target location. Each unit takes (Spell Power x 10 + 15) damage. Target hex is unaffected.
"	"{Advanced Frost Ring}

Ice drains the body heat of any units adjacent to the target location. Each unit takes (Spell Power x 10 + 30) damage. Target hex is unaffected.
"	"{Expert Frost Ring}

Ice drains the body heat of any units adjacent to the target location. Each unit takes (Spell Power x 10 + 60) damage. Target hex is unaffected.
"	 COMBAT_SPELL|LOCATION_TARGET
Fireball	Fireball	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Fireball}

Causes the selected target to burst into flames, inflicting (Spell Power x 10 + 15) fire damage to the target and any units adjacent to target location.
"	"{Basic Fireball}

Causes the selected target to burst into flames, inflicting (Spell Power x 10 + 15) fire damage to the target and any units adjacent to target location.
"	"{Advanced Fireball}

Causes the selected target to burst into flames, inflicting (Spell Power x 10 + 30) fire damage to the target and any units adjacent to target location.
"	"{Expert Fireball}

Causes the selected target to burst into flames, inflicting (Spell Power x 10 + 60) fire damage to the target and any units adjacent to target location.
"	 COMBAT_SPELL|LOCATION_TARGET
Inferno	Inferno	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Inferno}

Causes a huge blast of fire to strike the selected target and any units 1 and 2 hexes away from target location. Each unit takes (Spell Power x 10 + 20) damage.  Don't be near this when it goes off!
"	"{Basic Inferno}

Causes a huge blast of fire to strike the selected target and any units 1 and 2 hexes away from target location. Each unit takes (Spell Power x 10 + 20) damage.  Don't be near this when it goes off!
"	"{Advanced Inferno}

Causes a huge blast of fire to strike the selected target and any units 1 and 2 hexes away from target location. Each unit takes (Spell Power x 10 + 40) damage.  Don't be near this when it goes off!
"	"{Expert Inferno}

Causes a huge blast of fire to strike the selected target and any units 1 and 2 hexes away from target location. Each unit takes (Spell Power x 10 + 80) damage.  Don't be near this when it goes off!
"	 COMBAT_SPELL|LOCATION_TARGET
Meteor Shower	Meteor Shower	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Meteor Shower}

Causes a meteor shower to rain down on the selected target and any units adjacent to target location. Each unit takes (Spell Power x 25 + 25) damage.
"	"{Basic Meteor Shower}

Causes a meteor shower to rain down on the selected target and any units adjacent to target location. Each unit takes (Spell Power x 25 + 25) damage.
"	"{Advanced Meteor Shower}

Causes a meteor shower to rain down on the selected target and any units adjacent to target location. Each unit takes (Spell Power x 25 + 50) damage.
"	"{Expert Meteor Shower}

Causes a meteor shower to rain down on the selected target and any units adjacent to target location. Each unit takes (Spell Power x 25 + 100) damage.
"	 COMBAT_SPELL|LOCATION_TARGET
Death Ripple	Death Ripple	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Death Ripple}

Sends a wave of death across the battlefield which damages all units except undead and War Mañhines for (Spell Power x 5 + 10) hit points.
"	"{Basic Death Ripple}

Sends a wave of death across the battlefield which damages all units except undead and War Mañhines for (Spell Power x 5 + 10) hit points.
"	"{Advanced Death Ripple}

Sends a wave of death across the battlefield which damages all units except undead and War Mañhines for (Spell Power x 5 + 20) hit points.
"	"{Expert Death Ripple}

Sends a wave of death across the battlefield which damages all units except undead and War Mañhines for (Spell Power x 5 + 30) hit points.
"	 COMBAT_SPELL
Destroy Undead	Destroy Undead	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Destroy Undead}

Attempts to destroy any undead creatures on the battlefield. Each undead unit takes (Spell Power x 10 + 10) damage.
"	"{Basic Destroy Undead}

Attempts to destroy any undead creatures on the battlefield. Each undead unit takes (Spell Power x 10 + 10) damage.
"	"{Advanced Destroy Undead}

Attempts to destroy any undead creatures on the battlefield. Each undead unit takes (Spell Power x 10 + 20) damage.
"	"{Expert Destroy Undead}

Attempts to destroy any undead creatures on the battlefield. Each undead unit takes (Spell Power x 10 + 50) damage.
"	 COMBAT_SPELL
Armageddon	Armageddon	4	 	 	x	 	24	20	20	20	40	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Armageddon}

Rains fire down upon the battlefield, damaging all units for (Spell Power x 40 + 30) hit points.
"	"{Basic Armageddon}

Rains fire down upon the battlefield, damaging all units for (Spell Power x 40 + 30) hit points.
"	"{Advanced Armageddon}

Rains fire down upon the battlefield, damaging all units for (Spell Power x 40 + 60) hit points.
"	"{Expert Armageddon}

Rains fire down upon the battlefield, damaging all units for (Spell Power x 40 + 120) hit points.
"	 COMBAT_SPELL
Shield	Shield	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Shield}

Shields a selected friendly unit, reducing the amount of damage received from hand-to-hand attacks by 15%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Shield}

Shields a selected friendly unit, reducing the amount of damage received from hand-to-hand attacks by 15%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Shield}

Shields a selected friendly unit, reducing the amount of damage received from hand-to-hand attacks by 30%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Shield}

Shields all friendly units, reducing the amount of damage received from hand-to-hand attacks by 30%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Air Shield	Air Shield	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Air Shield}

Shields a selected friendly unit, reducing the amount of damage received from ranged attacks by 25%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Air Shield}

Shields a selected friendly unit, reducing the amount of damage received from ranged attacks by 25%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Air Shield}

Shields a selected friendly unit, reducing the amount of damage received from ranged attacks by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Air Shield}

Shields all friendly units, reducing the amount of damage received from ranged attacks by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Fire Shield	Fire Shield	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Fire Shield}

Cast on a friendly unit, it does not provide any additional protection, but any enemy making hand-by-hand attack through the fire shield will suffer damage equal to 20% of what it inflicts. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Fire Shield}

Cast on a friendly unit, it does not provide any additional protection, but any enemy making hand-by-hand attack through the fire shield will suffer damage equal to 20% of what it inflicts. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Fire Shield}

Cast on a friendly unit, it does not provide any additional protection, but any enemy making hand-by-hand attack through the fire shield will suffer damage equal to 25% of what it inflicts. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Fire Shield}

Cast on a friendly unit, it does not provide any additional protection, but any enemy making hand-by-hand attack through the fire shield will suffer damage equal to 30% of what it inflicts. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
Protection from Air	Prot. from Air	2		 	 	x	7	5	5	5	0	50	50	25	25	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Protection from Air}

Protects the selected friendly unit, reducing damage received from Air spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Protection from Air}

Protects the selected friendly unit, reducing damage received from Air spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Protection from Air}

Protects the selected friendly unit, reducing damage received from Air spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Protection from Air}

Protects all friendly units, reducing damage received from Air spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Protection from Fire	Prot. from Fire	1	 		x	 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Protection from Fire}

Protects the selected friendly unit, reducing damage received from Fire spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Protection from Fire}

Protects the selected friendly unit, reducing damage received from Fire spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Protection from Fire}

Protects the selected friendly unit, reducing damage received from Fire spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Protection from Fire}

Protects all friendly units, reducing damage received from Fire spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prot. from Water	Prot. from Water	1	 	x		 	5	4	4	4	0	50	50	25	25	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Protection from Water}

Protects the selected friendly unit, reducing damage received from Water spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Protection from Water}

Protects the selected friendly unit, reducing damage received from Water spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Protection from Water}

Protects the selected friendly unit, reducing damage received from Water spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Protection from Water}

Protects all friendly units, reducing damage received from Water spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prot. from Earth	Prot. from Earth	3	x	 	 		12	9	9	9	0	50	50	25	25	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Protection from Earth}

Protects the selected friendly unit, reducing damage received from Earth spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Protection from Earth}

Protects the selected friendly unit, reducing damage received from Earth spells by 50%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Protection from Earth}

Protects the selected friendly unit, reducing damage received from Earth spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Protection from Earth}

Protects all friendly units, reducing damage received from Earth spells by 75%. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Anti-Magic	Anti-Magic	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Anti-magic}

Protects the selected friendly unit from all 1-3 level spells except Dispel. Removes negative spells level 1-3 except Disrupting Ray. Does not affect duplicates created with Clone spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Anti-magic}

Protects the selected friendly unit from all 1-3 level spells except Dispel. Removes negative spells level 1-3 except Disrupting Ray. Does not affect duplicates created with Clone spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Anti-magic}

Protects the selected friendly unit from all 1-4 level spells except Dispel. Removes negative spells level 1-4 except Disrupting Ray. Does not affect duplicates created with Clone spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Anti-magic}

Protects the selected friendly unit from all spells except Dispel. Removes all negative spells except Disrupting Ray. Does not affect duplicates created with Clone spell. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
Dispel	Dispel	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Dispel}

Removes all spells and effects except Disrupting Ray and poison from a friendly unit. Ignores target creature natural immunities to magic.
"	"{Basic Dispel}

Removes all spells and effects except Disrupting Ray and poison from a friendly unit. Ignores target creature natural immunities to magic.
"	"{Advanced Dispel}

Removes all spells and effects except Disrupting Ray and poison from a friendly or hostile unit. Ignores target creature chances to resist a spell and natural immunities.
"	"{Expert Dispel}

Removes all spells and effects except Disrupting Ray and poison from all units on the battlefield and destroys all magic obstacles. Ignores target creature chances to resist a spell and natural immunities.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Magic Mirror	Magic Mirror	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Magic Mirror}

Reflects hostile spells from selected friendly unit towards a random enemy creature 20% of the time. Protects from Hypnotize spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Basic Magic Mirror}

Reflects hostile spells from selected friendly unit towards a random enemy creature 20% of the time. Protects from Hypnotize spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Advanced Magic Mirror}

Reflects hostile spells from selected friendly unit towards a random enemy creature 30% of the time. Protects from Hypnotize spell. Spell is active for number of rounds equal to hero Spell Power.
"	"{Expert Magic Mirror}

Reflects hostile spells from selected friendly unit towards a random enemy creature 40% of the time. Protects from Hypnotize spell. Spell is active for number of rounds equal to hero Spell Power.
"	 COMBAT_SPELL|CREATURE_TARGET
