	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Rashka	20	30	Imp	4	7	Gog	3	4	HellHound
Marius	20	30	Imp	4	7	Gog	3	4	HellHound
Ignatius	20	30	Imp	20	30	Imp	20	30	Imp
Octavia	20	30	Imp	4	7	Gog	3	4	HellHound
Calh	4	7	Gog	4	7	Gog	4	7	Gog
Pyre	20	30	Imp	1	1	Ballista	3	4	HellHound
Nymus	20	30	Imp	4	7	Gog	3	4	HellHound
Ayden	20	30	Imp	4	7	Gog	3	4	HellHound
Xyron	20	30	Imp	4	7	Gog	3	4	HellHound
Axsis	20	30	Imp	4	7	Gog	3	4	HellHound
Olema	20	30	Imp	4	7	Gog	3	4	HellHound
Calid	20	30	Imp	4	7	Gog	3	4	HellHound
Ash	20	30	Imp	4	7	Gog	3	4	HellHound
Zydar	20	30	Imp	4	7	Gog	3	4	HellHound
Xarfax	20	30	Imp	4	7	Gog	3	4	HellHound
Straker	4	6	Zombie	4	6	Zombie	4	6	Zombie
Vokial	20	30	Skeleton	4	6	Zombie	4	6	Wight
Moandor	20	30	Skeleton	4	6	Zombie	4	6	Wight
Charna	20	30	Skeleton	4	6	Wight	4	6	Wight
Tamika	20	30	Skeleton	4	6	Zombie	4	6	Wight
Isra	20	30	Skeleton	4	6	Zombie	4	6	Wight
Clavius	20	30	Skeleton	4	6	Zombie	4	6	Wight
Galthran	20	30	Skeleton	20	30	Skeleton	20	30	Skeleton
Septienna	20	30	Skeleton	4	6	Zombie	4	6	Wight
Aislinn	20	30	Skeleton	4	6	Zombie	4	6	Wight
Sandro	20	30	Skeleton	4	6	Zombie	4	6	Wight
Nimbus	20	30	Skeleton	4	6	Zombie	4	6	Wight
Thant	20	30	Skeleton	4	6	Zombie	4	6	Wight
Xsi	20	30	Skeleton	4	6	Zombie	4	6	Wight
Vidomina	20	30	Skeleton	4	6	Zombie	4	6	Wight
Nagash	20	30	Skeleton	4	6	Zombie	4	6	Wight
Lorelei	6	8	Harpy	6	8	Harpy	6	8	Harpy
Arlach	20	30	Troglodyte	1	1	Ballista	3	4	Beholder
Dace	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Ajit	20	30	Troglodyte	3	4	Beholder	3	4	Beholder
Damacon	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Gunnar	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Synca	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Shakti	20	30	Troglodyte	20	30	Troglodyte	20	30	Troglodyte
Alamar	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Jaegar	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Malekith	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Jeddite	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Geon	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Deemer	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Sephinroth	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Darkstorn	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Yog	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Gurnisson	15	25	Goblin	1	1	Ballista	4	6	Orc
Jabarkas	15	25	Goblin	4	6	Orc	4	6	Orc
Shiva	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Gretchin	15	25	Goblin	15	25	Goblin	15	25	Goblin
Krellion	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Crag Hack	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Tyraxor	5	7	GoblinWolfRider	5	7	GoblinWolfRider	5	7	GoblinWolfRider
Gird	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Vey	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Dessa	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Terek	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Zubin	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Gundula	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Oris	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Saurug	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Bron	15	25	Gnoll	4	7	Basilisk	3	4	SerpentFly
Drakon	15	25	Gnoll	15	25	Gnoll	15	25	Gnoll
Wystan	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman
Tazar	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Alkin	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Korbac	15	25	Gnoll	3	4	SerpentFly	3	4	DragonFly
Gerwulf	15	25	Gnoll	1	1	Ballista	3	4	SerpentFly
Broghild	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Mirlanda	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Rosic	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Voy	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Verdish	15	25	Gnoll	1	1	FirstAidTent	3	4	SerpentFly
Merist	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Styg	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Andra	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Tiva	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Pasis	15	25	Pixies	3	5	Air Elementals	2	3	Air Elementals
Thunar	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Ignissa	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Lacus	15	25	Pixies	3	5	Water Elementals	1	2	Water Elementals
Monere	15	25	Pixies	3	5	Air Elementals	2	3	Air Elementals
Erdamon	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Fiur	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Kalt	15	25	Pixies	3	5	Water Elementals	1	2	Water Elementals
Luna	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Brissa	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Ciele	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Labetha	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Inteus	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Aenain	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Gelare	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Grindan	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Sir Mullich	10	20	Pikeman	4	7	Archer	2	3	Griffin
Adrienne	15	25	Gnoll	4	7	Lizardman	3	4	Serpent Fly
Catherine	10	20	Pikeman	4	7	Archer	2	3	Griffin
Dracon	6	6	Enchanters	3	3	Enchanters	1	1	Enchanters
Gelu	6	6	Sharpshooters	3	3	Sharpshooters	1	1	Sharpshooters
Kilgor	15	25	Goblins	5	7	Goblin Wolf Rider	4	6	Orc
Haart Lich	20	30	Skeleton	4	6	Zombie	4	6	Wight
Mutare	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Roland	10	20	Pikeman	4	7	Archer	2	3	Griffin
Mutare Drake	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Boragus	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Xeron	20	30	Imp	3	4	HellHound	3	4	HellHound
	
