	Seer Hut Variant 1	Seer Hut Variant 2	Seer Hut Variant 3	Quest Guard Variant 1	Quest Guard Variant 2	Quest Guard Variant 3	Quest Gate Variant 1	Quest Gate Variant 2	Quest Gate Variant 3
Skill quest log	Learn %s and visit %s	Learn %s and visit %s	Learn %s and visit %s	Learn %s to open gate	Learn %s to open gate	Learn %s to open gate	Learn %s to go through the gate	Learn %s to go through the gate	Learn %s to go through the gate
Defeat hero quest	I was once rich and famous, but %s the terrible was my downfall.  I lost my lands, I lost my title, and I lost my family.  Please, bring the villain to justice.	Long ago I was in love, but %s killed my sweetheart.  Please, destroy this evil villian so I may live the rest of my life knowing my love's killer has been brought to justice.	We were driven from our home by %s.  If you could make sure they will never bother us again we would reward you greatly.	The guards here protect the lands beyond from the depredations of %s.  They will not let anyone pass so long as the threat remains.	The guards were placed here in order to keep out %s, a hero of great power and evil intentions towards their people.  Until they are defeated no one shall pass.	The Queen wants %s to be taught a lesson because they insulted her, calling her a fat old hag.  Until this is done she has closed the borders.	A crudely executed portrait is nailed to the gate, and there's also an announcement: "Present an ear of %s to pass."	The Queen wants %s to be taught a lesson because they insulted her, calling her a fat old hag.  Until this is done she has closed the borders.	From behind the gate. an old man sticks his nose out and mumbles: "Forty years ago, I served under %s, and I was ordered to keep this gate safe. I'm yet to be relieved. I want somebody to teach that bastard a lesson!"
Defeat hero progress	Oh, I wish you brought better news.  It aches my heart that %s still roams free.	Still, the murder of my love, %s is left to freely wander the world.	%s is still out there and can harm us.  Not until they are gone will we leave.	The guards still fear %s, so you cannot pass.	%s is still running around on the loose.	%s has still not yet been taught a lesson.  	%s is still out there with both ears intact.	%s has still not yet been taught a lesson.  	%s is still to be taught how to treat their subordinates.
Hero defeated	I thought the day would never come!  %s is no more.  Please, will you accept this reward?	Now I may continue with my sad life, that %s has been brought to justice.  For this comfort would you accept a reward?	We are finally able to return to our home, no that %s has been defeated.  Would you accept a reward as a token of our gratitude?	Now that you have vanquished %s, the threat is gone.  Do you wish to pass?	Since %s has been defeated and is no longer a threat the guards may let people pass.  Do you wish to pass at this time?	You have taught %s a lesson so the Queen will allow people to pass.  Do you wish to at this time?	The gate opens as you approach it. Finally, you can throw the ear of %s away - it hasn't exactly been a delight to carry this nasty thing around. Would you like to pass?	You have taught %s a lesson so the Queen will allow you to pass.  Do you wish to at this time?	The old man mumbles confusedly: "You know, I just remembered it - my commander was Buck Whiskeynose, not %s... I hope you didn't massacre the poor devil too badly? Oh, come on, pass through if you want..."
Hero quest rollover	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)
Hero quest log	Defeat %s for %s	Defeat %s for %s	Defeat %s for %s	Defeat %s to open gate	Defeat %s to open gate	Defeat %s to open gate	Defeat %s to go through the gate	Defeat %s to go through the gate	Defeat %s to go through the gate
Defeat monster quest	%s are menacing the %s region of this land.  If you could be so bold as to defeat them, I would reward you richly.	A group of %s have driven us from our homes.  If you could drive them off we could go home, and would leave you with great rewards.	In order to get to my sick mother I have to get by the %s first.  I am not a great warrior, but could reward you if the path was cleared.	The Belted Knights of Erathia guard this tower.  They will only let one of their own pass.  To join the order, you must first defeat the %s of the %s region.	%s are running loose out there.  We can't open the doors until each and every one is driven from the land.	Our doors do not open for anyone.  Prove your loyalty by defeating our enemies, the %s.  Only then will you be allowed to pass.	The Belted Knights of Erathia guard this tower.  They will only let one of their own pass.  To join the order, you must first defeat the %s of the %s region.	The garrison here is in poor shape, as the troops suffered a bitter defeat recently. The commander asks for revenge on their abusers, and only then he will let you through. You must defeat the %s of the %s region.	Our doors do not open for anyone.  Prove your loyalty by defeating our enemies, the %s.  Only then will you be allowed to pass.
Defeat monster progress	Don't lose heart.  Defeating the %s is a difficult task, but you will surely succeed.	The %s have not been driven off.  Until then we cannot go home.	My route is still infested with %s.  Please hurry, mother becomes more ill each day.	The Belted Knights still will not let you pass, so you have not conquered the %s of the %s region.	The %s are still running loose.	You have not yet proved your loyalty by defeating the %s.  Leave us.	The Belted Knights still will not let you pass, so you have not conquered the %s of the %s region.	The guards still will not let you pass, so you have not conquered the %s of the %s region.	You have not yet proved your loyalty by defeating the %s.  Leave us.
Monster defeated	At last, you defeated the %s, and the countryside is safe again!  Are you ready to accept the reward?	The %s are gone from our home and we can return!  Will you accept this reward?	The route is clear, I thank you deeply.  Take this as a symbol of my gratitude.	News of your defeat of the %s of the %s region traveled quickly.  Do you wish to pass, oh newly Belted Knight?	Now that the %s are gone we can open our doors.  Would you like to enter at this time?	Your loyalty has been proven by defeating the %s.  Do you wish to pass at this time?	News of your defeat of the %s of the %s region traveled quickly.  Do you wish to pass, oh newly Belted Knight?	News of your defeat of the %s of the %s region traveled quickly. The delighted commander agrees to let you through. Do you wish to pass now?	Your loyalty has been proven by defeating the %s.  Do you wish to pass at this time?
Monster quest rollover	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)	(defeat %s)
Monster quest log	Defeat %s for %s	Defeat %s for %s	Defeat %s for %s	Defeat %s to open gate	Defeat %s to open gate	Defeat %s to open gate	Defeat %s to go through the gate	Defeat %s to go through the gate	Defeat %s to go through the gate
Artifact quest	Long ago, powerful wizards were able to create magical artifacts, but time has caused us to forget how to make new items.  I would like to learn these techniques myself, but I need one of these artifacts first to see how it was done.  If you could bring me, the %s, you would be well rewarded. 	I've spent my life buying, selling, and collecting artifacts, but lately I've been spending so much money acquiring new pieces I can hardly turn a profit.  I think I might be able to start mass-producing artifacts, but I've got to have one first to copy.  If you could bring me the %s, I will reward your efforts.	In my younger days I'd have done this myself, but I need your help.  A friend of mine recently had a family heirloom stolen, and wants to find it.  The problem is that it looks exactly like the %s.  Please bring me any item that fits that description.  Even if the artifact is not the family heirloom, I will reward your efforts.	A powerful wizard owns this tower.  He refuses to let you pass unless you bring him the %s.	This gate can only be opened with a very special key.  Bring back the %s and you will be able to pass.	A small, henpecked man preers over the gate.  "No one may pass.  My dog ate my wife's %s and I'm not leaving here until I find a replacement."	This gate can only be opened with a very special key.  Bring back the %s and you will be able to pass.	The commander of the guards here has a gambling problem. He recently got cleaned out, losing not only the money allowance for his entire company, but also his lucky charm, the %s. Find him this trinket at least, and he will let you pass.	There's some crook standing by the gate. He calls at you, "Hey, I know where to get the key to the gate. I'll trade it for the %s."
Artifact quest progress	Nothing, eh?  I'm sure you will find the %s soon.  Please keep looking.	You still haven't found the %s?  Well please keep looking, I lose money with each passing day!	Nothing yet?  Ah well, keep trying, I'm sure the %s is out there somewhere.	The wizard is admant.  Without the %s, none will pass.	You have not yet found the key, without the %s you cannot pass.	Sorry, that won't fool her.  You need the %s in order to get me to leave.	You have not yet found the key, without the %s you cannot pass.	The trinket lost by the commander of the guards, the %s, is yet to be found. Without it, no one can pass.	"You need the key, and I only need one thing, the %s. I won't trade it for anything else," snaps the crook.
Artifact quest completion	Ah, exactly what I needed!  Here is the reward I promised.  You still wish to trade the %s, yes?	Yes!  This %s is perfect!  Now if you'll kindly give it to me, I shall pay what I promised.	Yes, this might just be what we're looking for!  May I please have the %s?	The wizard agrees to let you by in exchange for the %s.  Do wish to pass at this time?	Using the %s you may open the gate and pass through.  Do you wish to pass at this time?	"Give it here and you can pass.  Want a dog?  Just kidding, will you give %s to me?"	Using the %s you may open the gate and pass through, but it will be spent.  Do you wish to pass at this time?	Seeing the %s in your hands, the commander of the guard jumps up in excitement. Now he'll have something to gamble away again. Do you want to give it to him and pass?	"Aha! The %s! Come on, give it here and get your key! It's single use, by the way." Would you like to trade and pass?
Artifact quest rollover	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)
Artifact quest log	Bring %s to %s	Bring %s to %s	Bring %s to %s	Find %s to open gate	Find %s to open gate	Find %s to open gate	Find %s to go through the gate	Find %s to go through the gate	Find %s to go through the gate
Creature quest	I am an agent for an emperor of a distant land.  Recently, his armies have fallen on hard times.  If you could bring %s to me, I could pay you handsomely.	In order to travel through these dangerous lands my envoy needs more backup.  I hear %s are excellent guards.  If you were to bring them to me I would be deeply grateful	It is traditional for a groom to have an escort of %s in order to go to his bride.  We were attacked and most of my escort was killed.  If you could persuade them to help me I would be very grateful.	The King wants to see some %s.  In order for him to do so we need to look outside the kingdom.  Bring us them and we'll let you through.	Each year during our Festival of Life we need some %s.  Bring some or don't bother coming back.  It is the only way you will pass.	A mercenary troop occupies this tower.  They say they will let you pass if you bring them %s as recruits.	A mercenary troop is stationed at this gate.  They say they will let you pass if you bring them %s as recruits.	The guards at this gate haven't fought in a while and crave practice. They ask you to bring some good warriors to have a sparring with them. Find %s, then they'll let you through.	This gate is under the control of a powerful warlock. With a vile grin, he makes a demand. In exchange for the permission to pass, he wants "fresh manpower": %s.
Creature quest progress	No luck in finding the %s?  Please hurry, the empire depends on you.	I am sorry, but we really want %s as guards.	No, those will simply not do.  You must bring me %s before I can go to my bride to be.	I am sorry, but the King wants to only see %s, nothing else will do.	Nothing but %s will do for our Festival.  Begone until you have them.	The mercenaries still require %s before you may pass.	The mercenaries still require %s before you may pass.	The guards still demand worthy opponents, %s. Until you bring them in, they won't let you through.	The warlock still wants "manpower", %s, before you can pass.
Creature quest complete	At last, the %s that will save our empire!  Here is your payment. Are they ready to depart?	Excellent!  You have brought us the right amount of %s as guards.  Will you exchange them for a great reward?	Thank you so much kind travelor!  I will give you a bountiful reward in exchange for the service of those %s.	Excellent!  You have found the %s the King is so anxious to see.  Let them go with us and you may pass.	Excellent!  You may pass if you give us the %s.  Will you make the exchange now?	The mercenaries agree to let you pass in exchange for %s as recruits.  Do you wish to make the exchange now?	The mercenaries agree to let you pass in exchange for %s as recruits.  Do you wish to make the exchange now?	You have brought the guards worthy opponents, %s, and they agree to let you through. Would you like to make the exchange?	The mercenaries agree to let you pass in exchange for %s as recruits.  Do you wish to make the exchange now?
Creature quest rollover	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)
Creature quest log	Bring %s to %s	Bring %s to %s	Bring %s to %s	Find %s to open gate	Find %s to open gate	Find %s to open gate	Find %s to go through the gate	Find %s to go through the gate	Find %s to go through the gate
Resource quest	I am researching a way to turn base metals into gold, but I am short of materials for my workshop.  If you could bring me %s, I would be most grateful.	Please help the poor children of the area.  If you could bring %s we could pay to have homes built for them.  I would be at your service.	Please help me!  I was robbed on the way to my wedding, and without a dowry my future husband will not be able to accept me.  If you could bring me %s I would reward you.	The guards here are charging a toll of all travelers.  They will let you pass for %s.	All people must pay the King's Road Tax.  It is %s.  Unless you pay it we will not let you pass.	We are quite sorry, but we refuse to move out of here and let you through.  If you were to bring us %s then we could move into another, comfortable home.	The guards here are charging a toll of all travelers.  They will let you pass for %s.	All people must pay the King's Road Tax.  It is %s.  Unless you pay it we will not let you pass.	This gate is boarded over and blocked. If you want to pass, you'll have to hire local peasants to clear the way. It will cost you %s.
Resource quest progress	Oh my, that's simply not enough.  I need %s.  I'll never complete it with what you have.	Not unless all of %s is donated we cannot build adequate homes for the orphans.	My dowry must contain all of %s or I cannot get married.	Since you have not brought %s, the guards forbid you passage.	That is not enough.  The King's Road Tax is %s.	For that pathetic amount we couldn't buy a shack.  We'll need at least %s in order to have a good home.	Since you have not brought %s, the guards forbid you passage.	That is not enough.  The King's Road Tax is %s.	Peasants require a fee of %s for clearing the way through the blocked gate. Come back when you get rich.
Resource quest complete	Finally!  Here, give the %s to me, and I'll give you this in return.	Ahh, with all of the %s we can build good homes for them.  Would you accept this in return for your donation?	Thank you so much kind travelor!  If you give me %s I will give you a reward.  Will you trade?	The guards here are charging a toll of all travelers.  They will let you pass for %s.  Do you wish to pay the toll?	If you give us the King's Road Tax of %s we will let you pass.  Do you agree?	Now that is the right kind of money.  With %s we can build or buy ourselves a nice place.  You give it here and we let you pass, eh?	The guards here are charging a toll of all travelers.  They will let you pass for %s.  Do you wish to pay the toll?	If you give us the King's Road Tax of %s we will let you pass.  Do you agree?	The peasants are ready to accept payment of %s and clear the way. For some reason, you think it won't stay clear for long. Do you want to pay up and pass?
Resource quest rollover	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)
Resource quest log	Bring %s to %s	Bring %s to %s	Bring %s to %s	Find %s to open gate	Find %s to open gate	Find %s to open gate	Find %s to go through the gate	Find %s to go through the gate	Find %s to go through the gate
Be hero quest	What I have is for %s alone.  I shall give it to none other.	What I have is for %s alone.  I shall give it to none other.	What I have is for %s alone.  I shall give it to none other.	The guards here say they have orders to only let %s pass.	The guards here say they have orders to only let %s pass.	The guards here say they have orders to only let %s pass.	The guards here say they have orders to only let %s pass.	The guards here say they have orders to only let %s pass.	The guards here say they have orders to only let %s pass.
Be hero quest progress	You are not %s.  Begone!	You are not %s.  Begone!	You are not %s.  Begone!	The guards here will only let %s pass.	The guards here will only let %s pass.	The guards here will only let %s pass.	The guards here will only let %s pass.	The guards here will only let %s pass.	The guards here will only let %s pass.
Be hero quest complete	Finally!  It is you, %s.  Here is what I have for you.  Do you accept?	Finally!  It is you, %s.  Here is what I have for you.  Do you accept?	Finally!  It is you, %s.  Here is what I have for you.  Do you accept?	At last, it is %s.  Do you wish to pass?	At last, it is %s.  Do you wish to pass?	At last, it is %s.  Do you wish to pass?	At last, it is %s.  Do you wish to pass?	At last, it is %s.  Do you wish to pass?	At last, it is %s.  Do you wish to pass?
Be hero quest rollover	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)	(seeks %s)
Be hero quest log	Send %s to %s	Send %s to %s	Send %s to %s	Send %s to open gate	Send %s to open gate	Send %s to open gate	Send %s to go through the gate	Send %s to go through the gate	Send %s to go through the gate
Belong to player quest	I have a prize for those who fly the %s flag.	I have a prize for those who fly the %s flag.	I have a prize for those who fly the %s flag.	The guards here say they will only let those who fly the %s flag pass.	The guards here say they will only let those who fly the %s flag pass.	The guards here say they will only let those who fly the %s flag pass.	The guards here say they will only let those who fly the %s flag pass.	The guards here say they will only let those who fly the %s flag pass.	The guards here say they will only let those who fly the %s flag pass.
Belong to player quest progress	Your flag is not %s.  I have nothing for you.  Begone!	Your flag is not %s.  I have nothing for you.  Begone!	Your flag is not %s.  I have nothing for you.  Begone!	The guards here will only let those who fly the %s flag pass.	The guards here will only let those who fly the %s flag pass.	The guards here will only let those who fly the %s flag pass.	The guards here will only let those who fly the %s flag pass.	The guards here will only let those who fly the %s flag pass.	The guards here will only let those who fly the %s flag pass.
Belong to player quest complete	Ah, one who bears the %s flag.  Here is a prize for you.  Do you accept?	Ah, one who bears the %s flag.  Here is a prize for you.  Do you accept?	Ah, one who bears the %s flag.  Here is a prize for you.  Do you accept?	The guards note your %s flag and offer to let you pass.  Do you accept?	The guards note your %s flag and offer to let you pass.  Do you accept?	The guards note your %s flag and offer to let you pass.  Do you accept?	The guards note your %s flag and offer to let you pass.  Do you accept?	The guards note your %s flag and offer to let you pass.  Do you accept?	The guards note your %s flag and offer to let you pass.  Do you accept?
Belong to player quest rollover	(seeks hero with %s flag)	(seeks hero with %s flag)	(seeks hero with %s flag)	(seeks hero with %s flag)	(seeks hero with %s flag)	(seeks hero with %s flag)	(seeks hero with %s flag)	(seeks hero with %s flag)	(seeks hero with %s flag)
Belong to player quest log									
Belong to class quest	I've got a gift for %s.	I've got a gift for %s.	I've got a gift for %s.	The guards here say they will only let %s pass.	The guards here say they will only let %s pass.	The guards here say they will only let %s pass.	The guards here say they will only let %s pass.	The guards here say they will only let %s pass.	The guards here say they will only let %s pass.
Belong to class quest progress	You are not %s.  I've got nothing for you. Begone!	You are not %s.  I've got nothing for you. Begone!	You are not %s.  I've got nothing for you. Begone!	The guards here will only let %s pass.	The guards here will only let %s pass.	The guards here will only let %s pass.	The guards here will only let %s pass.	The guards here will only let %s pass.	The guards here will only let %s pass.
Belong to class quest complete	Ah, you are %s.  Here's a gift for you.  Do you accept?	Ah, you are %s.  Here's a gift for you.  Do you accept?	Ah, you are %s.  Here's a gift for you.  Do you accept?	The guards note that you are %s and offer to let you pass.  Do you accept?	The guards note that you are %s and offer to let you pass.  Do you accept?	The guards note that you are %s and offer to let you pass.  Do you accept?	The guards note that you are %s and offer to let you pass.  Do you accept?	The guards note that you are %s and offer to let you pass.  Do you accept?	The guards note that you are %s and offer to let you pass.  Do you accept?
Belong to class quest rollover	(seeks hero of %s class)	(seeks hero of %s class)	(seeks hero of %s class)	(seeks hero of %s class)	(seeks hero of %s class)	(seeks hero of %s class)	(seeks hero of %s class)	(seeks hero of %s class)	(seeks hero of %s class)
Belong to class quest log	Send %s to %s	Send %s to %s	Send %s to %s	Send %s to open gate	Send %s to open gate	Send %s to open gate	Send %s to go through the gate	Send %s to go through the gate	Send %s to go through the gate
Wait quest	I'm busy.  Come back not before %s.	I'm busy.  Come back not before %s.	I'm busy.  Come back not before %s.	Closed till %s.	Closed till %s.	Closed till %s.	Closed till %s.	Closed till %s.	Closed till %s.
Wait quest progress	I'm busy.  Come back not before %s.	I'm busy.  Come back not before %s.	I'm busy.  Come back not before %s.	Closed till %s.	Closed till %s.	Closed till %s.	Closed till %s.	Closed till %s.	Closed till %s.
Wait quest complete	I'm free now.  Here's what I've got for you.  Do you accept?	I'm free now.  Here's what I've got for you.  Do you accept?	I'm free now.  Here's what I've got for you.  Do you accept?	You are free to go through now.  Do you wish to pass?	You are free to go through now.  Do you wish to pass?	You are free to go through now.  Do you wish to pass?	You are free to go through now.  Do you wish to pass?	You are free to go through now.  Do you wish to pass?	You are free to go through now.  Do you wish to pass?
Wait quest rollover	(Return not before %s)	(Return not before %s)	(Return not before %s)	(Return not before %s)	(Return not before %s)	(Return not before %s)	(Return not before %s)	(Return not before %s)	(Return not before %s)
Wait quest log	Wait till %s for %s	Wait till %s for %s	Wait till %s for %s	Wait till %s to open gate	Wait till %s to open gate	Wait till %s to open gate	Wait till %s to go through the gate	Wait till %s to go through the gate	Wait till %s to go through the gate
Time limit	You must return in %d days.	You must return in %d days.	You must return in %d days.	You must return in %d days.	You must return in %d days.	You must return in %d days.	The gate will still be open in %d days.	The gate will still be open in %d days.	The gate will still be open in %d days.
									
Seer Hut Names (48)									
Abraham									
Goldwyn									
Bryce									
Blain									
Engle									
Carsten									
Dulcie									
Donard									
Esslock									
Evander									
Frederick									
Fay									
Genevieve									
Horace									
Heather									
Ike									
Jhem									
Julius									
Joseph									
Kae									
Kendrick									
Lynwood									
Kyriell									
Marigold									
Norwood									
Clova									
Tim									
Gier									
Paige									
Pierce									
Rae									
Raphael									
Rex									
Hester									
Spiridion									
Skye									
Rival									
Timeus									
Sulmand									
Rizlav									
Violet									
Wendell									
Winston									
Xanthe									
Xavier									
Yvette									
Zaray									
Zoe									
