	Description		
Luck	"{Basic Luck}

Basic Luck increases your hero's luck by 1."	"{Advanced Luck}

Advanced Luck increases your hero's luck by 2."	"{Expert Luck}

Expert Luck increases your hero's luck by 3."
Ballistics	"{Basic Ballistics}

Basic Ballistics gives control of the catapult to the hero, allowing aimed shots with increased damage."	"{Advanced Ballistics}

Advanced Ballistics gives control of the catapult to the hero, allowing two aimed shots with increased damage."	"{Expert Ballistics}

Expert Ballistics gives control of the catapult to the hero, allowing two aimed shots at maximum damage."
Eagle Eye	"{Basic Eagle Eye}

Basic Eagle Eye gives your hero a 40% chance to learn any 1st or 2nd level spell used in combat."	"{Advanced Eagle Eye}

Advanced Eagle Eye gives your hero a 50% chance to learn any spell up to 3rd level used in combat."	"{Expert Eagle Eye}

Expert Eagle Eye gives your hero a 60% chance to learn any spell up to 4th level used in combat."
Necromancy	"{Basic Necromancy}

Basic Necromancy allows 5% of the creatures killed in combat to be brought back from the dead as Skeletons."	"{Advanced Necromancy}

Advanced Necromancy allows 10% of the creatures killed in combat to be brought back from the dead as Skeletons."	"{Expert Necromancy}

Expert Necromancy allows 15% of the creatures killed in combat to be brought back from the dead as Skeletons."
Estates	"{Basic Estates}

With Estates, a hero contributes 250 gold per day to your cause."	"{Advanced Estates}

With Estates, a hero contributes 500 gold per day to your cause."	"{Expert Estates}

With Estates, a hero contributes 1000 gold per day to your cause."
Fire Magic	"{Basic Fire Magic}

Basic Fire Magic allows your hero to cast Fire spells at reduced cost."	"{Advanced Fire Magic}

Advanced Fire Magic allows your hero to cast Fire spells at reduced cost and increased effectiveness."	"{Expert Fire Magic}

Expert Fire Magic allows your hero to cast Fire spells at reduced cost and maximum effectiveness."
Air Magic	"{Basic Air Magic}

Basic Air Magic allows your hero to cast Air spells at reduced cost."	"{Advanced Air Magic}

Advanced Air Magic allows your hero to cast Air spells at reduced cost and increased effectiveness."	"{Expert Air Magic}

Expert Air Magic allows your hero to cast Air spells at reduced cost and maximum effectiveness."
Water Magic	"{Basic Water Magic}

Basic Water Magic allows your hero to cast Water spells at reduced cost."	"{Advanced Water Magic}

Advanced Water Magic allows your hero to cast Water spells at reduced cost and increased effectiveness."	"{Expert Water Magic}

Expert Water Magic allows your hero to cast Water spells at reduced cost and maximum effectiveness."
Earth Magic	"{Basic Earth Magic}

Basic Earth Magic allows your hero to cast Earth spells at reduced cost."	"{Advanced Earth Magic}

Advanced Earth Magic allows your hero to cast Earth spells at reduced cost and increased effectiveness."	"{Expert Earth Magic}

Expert Earth Magic allows your hero to cast Earth spells at reduced cost and maximum effectiveness."
Scholar	"{Basic Scholar}

Basic Scholar allows heroes to teach each other 1st and 2nd level spells, effectively trading spells between spell books."	"{Advanced Scholar}

Advanced Scholar allows heroes to teach each other any spell up to 3rd level, effectively trading spells between spell books."	"{Expert Scholar}

Expert Scholar allows heroes to teach each other any spell up to 4th level, effectively trading spells between spell books."
Tactics	"{Basic Tactics}

Basic Tactics allows you to rearrange your troops just before combat, within three hex rows of the commanding hero."	"{Advanced Tactics}

Advanced Tactics allows you to rearrange your troops just before combat, within five hex rows of the commanding hero."	"{Expert Tactics}

Expert Tactics allows you to rearrange your troops just before combat, within seven hex rows of the commanding hero."
Artillery	"{Basic Artillery}

Basic Artillery gives the hero control of the ballista, defense towers and the cannon. It also gives the ballista a 50% chance to inflict double damage. The cannon inflicts additional damage to fortifications."	"{Advanced Artillery}

Advanced Artillery gives the hero control of the ballista, defense towers and the cannon. It also gives the ballista a 75% chance to inflict double damage. The ballista shoots twice. The cannon inflicts double damage and inflicts additional damage to fortifications."	"{Expert Artillery}

Expert Artillery gives the hero control of the ballista, defense towers and the cannon. The ballista inflicts double damage and shoots twice. The cannon inflicts triple damage and inflicts maximum damage to fortifications."
Learning	"{Basic Learning}

Basic Learning increases a hero's earned experience by 5%."	"{Advanced Learning}

Advanced Learning increases a hero's earned experience by 10%."	"{Expert Learning}

Expert Learning increases a hero's earned experience by 15%."
Offense	"{Basic Offense}

Basic Offense increases all hand-to-hand damage inflicted by the hero's troops by 10%."	"{Advanced Offense}

Advanced Offense increases all hand-to-hand damage inflicted by the hero's troops by 20%."	"{Expert Offense}

Expert Offense increases all hand-to-hand damage inflicted by the hero's troops by 30%."
Armorer	"{Basic Armorer}

Basic Armorer reduces all damage inflicted against the hero's troops by 5%."	"{Advanced Armorer}

Advanced Armorer reduces all damage inflicted against the hero's troops by 10%."	"{Expert Armorer}

Expert Armorer reduces all damage inflicted against the hero's troops by 15%."
Intelligence	"{Basic Intelligence}

Basic Intelligence increases a hero's normal maximum spell points by 20%."	"{Advanced Intelligence}

Advanced Intelligence increases a hero's normal maximum spell points by 35%."	"{Expert Intelligence}

Expert Intelligence increases a hero's normal maximum spell points by 50%."
Sorcery	"{Basic Sorcery}

Basic Sorcery causes a hero's spells to inflict an additional 5% damage in combat."	"{Advanced Sorcery}

Advanced Sorcery causes a hero's spells to inflict an additional 10% damage in combat."	"{Expert Sorcery}

Expert Sorcery causes a hero's spells to inflict an additional 15% damage in combat."
Resistance	"{Basic Resistance}

Basic Resistance increases your chance to resist a hostile spell by 5%."	"{Advanced Resistance}

Advanced Resistance  increases your chance to resist a hostile spell by 10%."	"{Expert Resistance}

Expert Resistance increases your chance to resist a hostile spell by 20%."
First Aid	"{Basic First Aid}

Basic First Aid gives control of the first aid tent to the hero, healing 50 points of damage to the first unit of the selected stack."	"{Advanced First Aid}

Advanced First Aid gives control of the first aid tent to the hero, healing 75 points of damage to the first unit of the selected stack."	"{Expert First Aid}

Expert First Aid gives control of the first aid tent to the hero, healing 100 points of damage to the first unit of the selected stack."
